side,notional,execution_policy,exit_variant,episode_count,effective_independent_episodes,anchors_skipped_due_to_open_episode,time_in_market_seconds
LONG,100,TAKER_TAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,100,TAKER_TAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,100,TAKER_TAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,100,TAKER_TAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,100,MAKER_TAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,100,MAKER_TAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,100,MAKER_TAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,100,MAKER_TAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,100,TAKER_MAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,100,TAKER_MAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,100,TAKER_MAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,100,TAKER_MAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,100,MAKER_MAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,100,MAKER_MAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,100,MAKER_MAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,100,MAKER_MAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,500,TAKER_TAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,500,TAKER_TAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,500,TAKER_TAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,500,TAKER_TAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,500,MAKER_TAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,500,MAKER_TAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,500,MAKER_TAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,500,MAKER_TAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,500,TAKER_MAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,500,TAKER_MAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,500,TAKER_MAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,500,TAKER_MAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,500,MAKER_MAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,500,MAKER_MAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,500,MAKER_MAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,500,MAKER_MAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,1000,TAKER_TAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,1000,TAKER_TAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,1000,TAKER_TAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,1000,TAKER_TAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
LONG,1000,MAKER_TAKER_V1,IMMEDIATE_PROFIT_EXIT,0,0,0,0
LONG,1000,MAKER_TAKER_V1,ELASTIC_300_150_V0,0,0,0,0
LONG,1000,MAKER_TAKER_V1,MULTI_MINUTE_RUNNER_10M_V0,0,0,0,0
LONG,1000,MAKER_TAKER_V1,MULTI_MINUTE_RUNNER_15M_V0,0,0,0,0
