side,execution_policy,notional,fill_certainty,fee_bps,spread_crossing_bps,vwap_slippage_bps,latency_slippage_bps,adverse_selection_bps,status
LONG,TAKER_TAKER_V1,100,,10.0000,,,,,MORE_DATA_REQUIRED
LONG,TAKER_TAKER_V1,500,,10.0000,,,,,MORE_DATA_REQUIRED
LONG,TAKER_TAKER_V1,1000,,10.0000,,,,,MORE_DATA_REQUIRED
LONG,MAKER_TAKER_V1,100,,7.0000,,,,,MORE_DATA_REQUIRED
LONG,MAKER_TAKER_V1,500,,7.0000,,,,,MORE_DATA_REQUIRED
LONG,MAKER_TAKER_V1,1000,,7.0000,,,,,MORE_DATA_REQUIRED
LONG,TAKER_MAKER_V1,100,,7.0000,,,,,MORE_DATA_REQUIRED
LONG,TAKER_MAKER_V1,500,,7.0000,,,,,MORE_DATA_REQUIRED
LONG,TAKER_MAKER_V1,1000,,7.0000,,,,,MORE_DATA_REQUIRED
SHORT,TAKER_TAKER_V1,100,,10.0000,,,,,MORE_DATA_REQUIRED
SHORT,TAKER_TAKER_V1,500,,10.0000,,,,,MORE_DATA_REQUIRED
SHORT,TAKER_TAKER_V1,1000,,10.0000,,,,,MORE_DATA_REQUIRED
SHORT,MAKER_TAKER_V1,100,,7.0000,,,,,MORE_DATA_REQUIRED
SHORT,MAKER_TAKER_V1,500,,7.0000,,,,,MORE_DATA_REQUIRED
SHORT,MAKER_TAKER_V1,1000,,7.0000,,,,,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,100,,7.0000,,,,,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,500,,7.0000,,,,,MORE_DATA_REQUIRED
SHORT,TAKER_MAKER_V1,1000,,7.0000,,,,,MORE_DATA_REQUIRED
