market,mode,variant_id,benchmark,selectable,period,scenario,evaluation_start,evaluation_end,effective_evaluation_start,initial_capital,final_capital,trades,trades_by_year,long_trades,short_trades,net_return_percent,gross_return_percent,win_rate_percent,profit_factor,expectancy,median_trade,maximum_drawdown_percent,return_to_drawdown,exposure_percent,fees,execution_costs,funding_paid,funding_received,net_funding,liquidation_count,defensive_mode_activations,candles_in_defensive_mode,trades_in_defensive_mode,risk_reduction_duration_days,result_without_best_trade,result_without_top_three,best_trade_concentration_percent,top_three_concentration_percent,zero_trade_fold_percent,median_walk_forward_net_return,positive_fold_percent,warnings,net_funding_percent
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,10060.432150919256214000000,4,"{""2023"": 4}",4,0,0.604321509192562140000,0.71427138010000,75.00,1.724956632680070353083701228,15.108037729814053500000,22.054771145673639000000,1.931095125747514052545233370,0.3129423823482715858224144199,39.05660377358490566037735849,8.144408956626786000000,2.850578134117000000,0,0,0,0,0,0,0,0,-39.250134956995722000000,-83.359677248343000000000,69.32402706506061771870035346,100,0,0.151675566807987630000,50.0,[],
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,10087.407063079628656000000,5,"{""2023"": 5}",5,0,0.874070630796286560000,1.01203159040000,60.0,2.025215025158396209614608678,17.481412615925731200000,31.488346861196472000000,1.668142580820693899274415639,0.5239783702219631059397115466,27.54716981132075471698113208,10.219293608017344000000,3.576802352354000000,0,0,0,0,0,0,0,0,-12.542341572181200000000,-85.257298161548328000000,57.88652848412700085785599994,100,0,0.117982112236222440000,50.0,[],
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,10060.432150919256214000000,4,"{""2023"": 4}",4,0,0.604321509192562140000,0.71427138010000,75.00,1.724956632680070353083701228,15.108037729814053500000,22.054771145673639000000,1.931095125747514052545233370,0.3129423823482715858224144199,39.05660377358490566037735849,8.144408956626786000000,2.850578134117000000,0,0,0,0,0,0,0,0,-39.250134956995722000000,-83.359677248343000000000,69.32402706506061771870035346,100,0,0.151675566807987630000,50.0,[],
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,10087.407063079628656000000,5,"{""2023"": 5}",5,0,0.874070630796286560000,1.01203159040000,60.0,2.025215025158396209614608678,17.481412615925731200000,31.488346861196472000000,1.668142580820693899274415639,0.5239783702219631059397115466,27.54716981132075471698113208,10.219293608017344000000,3.576802352354000000,0,0,0,0,0,0,0,0,-12.542341572181200000000,-85.257298161548328000000,57.88652848412700085785599994,100,0,0.117982112236222440000,50.0,[],
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,10060.432150919256214000000,4,"{""2023"": 4}",4,0,0.604321509192562140000,0.71427138010000,75.00,1.724956632680070353083701228,15.108037729814053500000,22.054771145673639000000,1.931095125747514052545233370,0.3129423823482715858224144199,39.05660377358490566037735849,8.144408956626786000000,2.850578134117000000,0,0,0,0,0,0,0,0,-39.250134956995722000000,-83.359677248343000000000,69.32402706506061771870035346,100,0,0.151675566807987630000,50.0,[],
SPOT,LONG,CASH,True,False,DEVELOPMENT,BASE,,,,,,0,,0,0,0,0,,,,,0,,0,,,,,,0,,,,,,,,,,,,,0
SPOT,LONG,SPOT_BUY_AND_HOLD,True,False,DEVELOPMENT,BASE,,,,,,1,,1,0,-38.46890523418076176072161078,-37.92890523418076176072161078,,,,,0,,100,,,,,,0,,,,,,,,,,,,,0
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9930.4527817976535846510734,4,"{""2023"": 4}",4,0,-0.69547218202346415348926600,-0.272482061500,50.0,0.6376473716608179317790879063,-17.38680455058660383723165,8.07655297246787378855325,2.671627279718813757761919894,-0.2603178172730224338463434015,38.60640301318267419962335217,2.5607383825471525,3.585020383945,36.1532532858542628489266,0,-36.1532532858542628489266,0,0,0,0,0,-159.6951585452984251699274,-175.8482644902341727470339,73.65918123333222055644736956,100,0,-0.08659002477666131141155350,50.0,[],
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9948.6336371162713475368761,5,"{""2023"": 5}",5,0,-0.51366362883728652463123900,0.169842838100,60.0,0.8263806308282238515592879582,-10.27327257674573049262478,10.0955712373993548923778,3.632577271812543393950161199,-0.1414047356468164833177335023,31.63841807909604519774011299,4.5818735394156665,6.414631277481,57.3541418768319859631239,0,-57.3541418768319859631239,0,0,0,0,0,-251.5204953630239633042284,-295.8561773882936863972287,81.86604128474157694448567788,100,0,-0.43446546592778560942654550,50.0,[],
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,False,True,DEVELOPMENT,BASE,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2022-07-19T00:00:00+00:00,10000,9930.4527817976535846510734,4,"{""2023"": 4}",4,0,-0.69547218202346415348926600,-0.272482061500,50.0,0.6376473716608179317790879063,-17.38680455058660383723165,8.07655297246787378855325,2.671627279718813757761919894,-0.2603178172730224338463434015,38.60640301318267419962335217,2.5607383825471525,3.585020383945,36.1532532858542628489266,0,-36.1532532858542628489266,0,0,0,0,0,-159.6951585452984251699274,-175.8482644902341727470339,73.65918123333222055644736956,100,0,-0.08659002477666131141155350,50.0,[],
