market,mode,variant_id,period,scenario,date,close,sma_200,previous_20_high,previous_20_low,exit_channel,macro_side,breakout_long,breakout_short,position_side,risk_mode,risk_percent,risk_budget,initial_stop,risk_per_unit,quantity,macro_exit_true,donchian_exit_true,reason_code
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-19T00:00:00+00:00,1542.32000000,2445.93860000,1597.47000000,998.00000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-20T00:00:00+00:00,1521.58000000,2434.71880000,1631.00000000,998.00000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-21T00:00:00+00:00,1575.45000000,2423.45470000,1631.00000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-22T00:00:00+00:00,1535.27000000,2412.30160000,1631.00000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-23T00:00:00+00:00,1548.67000000,2401.11940000,1650.05000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-24T00:00:00+00:00,1597.70000000,2391.40475000,1650.05000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-25T00:00:00+00:00,1440.79000000,2381.57465000,1664.34000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-26T00:00:00+00:00,1449.12000000,2372.82405000,1664.34000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-27T00:00:00+00:00,1635.74000000,2365.59800000,1664.34000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-28T00:00:00+00:00,1724.52000000,2358.46075000,1664.34000000,1006.32000000,,BELOW,True,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-29T00:00:00+00:00,1721.68000000,2351.65575000,1784.79000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-30T00:00:00+00:00,1697.00000000,2343.94215000,1784.79000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-07-31T00:00:00+00:00,1678.12000000,2335.47645000,1784.79000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-08-01T00:00:00+00:00,1630.28000000,2327.42480000,1784.79000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-08-02T00:00:00+00:00,1630.91000000,2319.04225000,1784.79000000,1006.32000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-08-03T00:00:00+00:00,1618.16000000,2310.50285000,1784.79000000,1072.11000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
spot,long,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2022-08-04T00:00:00+00:00,1607.96000000,2301.80825000,1784.79000000,1181.05000000,,BELOW,False,False,FLAT,NORMAL,1,100,,,,False,False,MACRO_FILTER_LONG_REJECTED
