market,mode,variant_id,period,best_trade_concentration_percent,top_three_concentration_percent,net_pnl_without_best_trade,net_pnl_without_top_three
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,69.32402706506061771870035346,100,-39.250134956995722000000,-83.359677248343000000000
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,57.88652848412700085785599994,100,-12.542341572181200000000,-85.257298161548328000000
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,69.32402706506061771870035346,100,-39.250134956995722000000,-83.359677248343000000000
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,57.88652848412700085785599994,100,-12.542341572181200000000,-85.257298161548328000000
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,69.32402706506061771870035346,100,-39.250134956995722000000,-83.359677248343000000000
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,73.65918123333222055644736956,100,-159.6951585452984251699274,-175.8482644902341727470339
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,81.86604128474157694448567788,100,-251.5204953630239633042284,-295.8561773882936863972287
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,73.65918123333222055644736956,100,-159.6951585452984251699274,-175.8482644902341727470339
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,81.86604128474157694448567788,100,-251.5204953630239633042284,-295.8561773882936863972287
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,73.65918123333222055644736956,100,-159.6951585452984251699274,-175.8482644902341727470339
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,0,0,-211.9393764254669515761813,-145.9186602036610255673237
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,0,0,-308.2213614565414522566245,-248.0313041003256025587845
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,0,0,-165.3935211286866234075053,-99.3728049068806973986477
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,0,0,-195.7725529057996268308155,-152.7103719792158845284674
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,0,0,-211.9393764254669515761813,-145.9186602036610255673237
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,73.29106746390691334803645138,100,-458.4415703734458658319590,-474.4029293563365177802623
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,81.56156965967869511901198164,100,-533.6686492979653727668528,-577.6074014462577775558040
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,73.63331457050740609478765772,100,-289.4564015957205127223256,-297.4498246667959185937508
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,81.91093829193504535629919767,100,-313.2624239931309057166324,-335.2232467343144907400971
