market,mode,variant_id,period,side,trade_count,gross_pnl,net_pnl,win_rate_percent,stable_contribution_claimed
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LONG,4,71.42713801000000,60.432150919256214000000,75.00,False
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LONG,5,101.20315904000000,87.407063079628656000000,60.0,False
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LONG,4,71.42713801000000,60.432150919256214000000,75.00,False
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LONG,5,101.20315904000000,87.407063079628656000000,60.0,False
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,LONG,4,71.42713801000000,60.432150919256214000000,75.00,False
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LONG,4,-27.24820615,-69.5472182023464153489266,50.0,False
FUTURES,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,SHORT,0,0,0,0,False
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LONG,5,16.98428381,-51.3663628837286524631239,60.0,False
FUTURES,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,SHORT,0,0,0,0,False
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LONG,4,-27.24820615,-69.5472182023464153489266,50.0,False
FUTURES,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,SHORT,0,0,0,0,False
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LONG,5,16.98428381,-51.3663628837286524631239,60.0,False
FUTURES,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,SHORT,0,0,0,0,False
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,LONG,4,-27.24820615,-69.5472182023464153489266,50.0,False
FUTURES,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,SHORT,0,0,0,0,False
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LONG,0,0,0,0,False
FUTURES,SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,SHORT,5,-233.39533951,-237.7312215889092207680808,0,False
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LONG,0,0,0,0,False
FUTURES,SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,SHORT,6,-307.09602877,-315.1256985249900228289086,0,False
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LONG,0,0,0,0,False
FUTURES,SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,SHORT,5,-174.62884879,-178.2894167777490364329003,0,False
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LONG,0,0,0,0,False
FUTURES,SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,SHORT,6,-196.96422899,-202.6768899742481974030996,0,False
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,LONG,0,0,0,0,False
FUTURES,SHORT,TF_SHORT_ONLY_DONCHIAN_20,DEVELOPMENT,SHORT,5,-233.39533951,-237.7312215889092207680808,0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LONG,4,-28.93122022,-70.3880502200482907672825,50.0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,SHORT,5,-296.13238623,-300.6424969711735483497017,0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LONG,5,12.01501883,-54.9074641908445227109686,60.0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,SHORT,5,-278.88271589,-284.4000856015184269719763,0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LONG,4,-13.46018874,-34.3374144390317435830319,50.0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,SHORT,5,-206.88456812,-210.6395326012426313429170,0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LONG,5,8.54391487,-25.3849085614281052789286,60.0,False
FUTURES,LONG_SHORT,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,SHORT,5,-183.96570495,-188.4344583276845905098242,0,False
