market,mode,variant_id,period,scenario,net_return_percent,gross_return_percent,maximum_drawdown_percent,trade_count,fees,execution_costs,net_funding,funding_source_unchanged,funding_dataset_hash,warnings
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,LOW,0.6597231427662944400000,0.71472889840000,1.905989160972096864477954704,4,4.0744939318085560000000,1.4260816315620000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,0.604321509192562140000,0.71427138010000,1.931095125747514052545233370,4,8.144408956626786000000,2.850578134117000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,HIGH,0.493705455270459600000,0.71335932850000,1.981250409749730103932819585,4,16.270553707056040000000,5.694833615898000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,STRESS,0.273213363949130880000,0.71153949870000,2.081313269116983576040825974,4,32.468189354162912000000,11.364424120924000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,LOW,0.9437055089098697100000,1.01272957060000,1.629246043024591723019133915,5,5.1128842689450290000000,1.7895219000680000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,0.874070630796286560000,1.01203159040000,1.668142580820693899274415639,5,10.219293608017344000000,3.576802352354000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,HIGH,0.735070405314396480000,1.01064522080000,1.745830020406650396602387433,5,20.412802564516352000000,7.144678984044000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,STRESS,0.458113071784152960000,1.00787703540000,1.900755390689724710119828043,5,40.722671248880704000000,14.253725112704000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,LOW,0.6597231427662944400000,0.71472889840000,1.905989160972096864477954704,4,4.0744939318085560000000,1.4260816315620000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,0.604321509192562140000,0.71427138010000,1.931095125747514052545233370,4,8.144408956626786000000,2.850578134117000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,HIGH,0.493705455270459600000,0.71335932850000,1.981250409749730103932819585,4,16.270553707056040000000,5.694833615898000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,STRESS,0.273213363949130880000,0.71153949870000,2.081313269116983576040825974,4,32.468189354162912000000,11.364424120924000000,0,,,[]
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,LOW,0.9437055089098697100000,1.01272957060000,1.629246043024591723019133915,5,5.1128842689450290000000,1.7895219000680000000,0,,,[]
