market,mode,variant_id,period,scenario,stage_order,stage,count
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,729
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,530
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,283
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,4
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,5,signal,4
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,4
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,4
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,8,execution,4
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,9,position,4
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,3
SPOT,LONG,TF_DONCHIAN_20_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,4
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,1,daily_candles,729
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,2,warmup_complete,530
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,283
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,4,donchian_breakout,5
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,5,signal,5
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,6,risk_sizing,5
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,7,risk_approved,5
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,8,execution,5
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,9,position,5
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,10,exit_condition,4
SPOT,LONG,TF_DONCHIAN_10_FIXED_RISK,DEVELOPMENT,BASE,11,closed_trade,5
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,729
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,530
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,283
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,4
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,4
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,4
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,4
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,4
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,4
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,10,exit_condition,3
SPOT,LONG,TF_DONCHIAN_20_DEFENSIVE_RISK,DEVELOPMENT,BASE,11,closed_trade,4
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,1,daily_candles,729
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,2,warmup_complete,530
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,3,sma_macro_filter,283
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,4,donchian_breakout,5
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,5,signal,5
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,6,risk_sizing,5
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,7,risk_approved,5
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,8,execution,5
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,9,position,5
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,10,exit_condition,4
SPOT,LONG,TF_DONCHIAN_10_DEFENSIVE_RISK,DEVELOPMENT,BASE,11,closed_trade,5
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,1,daily_candles,729
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,2,warmup_complete,530
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,3,sma_macro_filter,283
SPOT,LONG,TF_LONG_ONLY_DONCHIAN_20,DEVELOPMENT,BASE,4,donchian_breakout,4
