fold,scenario,net_return,final_capital,total_costs,trade_count,drawdown,difference_against_base,status,warning
development,LOW_COST,-0.0245576556912542687100,9997.5442344308745731290,25.84637813459532796450000000,22,0.9782943628784144424814131235,0.39816005850105532023200,NEGATIVE,
development,BASE_COST,-0.42271771419230958894200,9957.7282285807690411058,49.22640070373603190120000000,21,1.270470357127358153094159219,0E-23,NEGATIVE,
development,HIGH_COST,-0.493433844557805500100,9950.6566155442194499900,98.93122520992913365400000000,21,1.083337697737871383322349793,-0.07071613036549591115800,NEGATIVE,
development,STRESS_COST,-2.39206553016295324502400,9760.7934469837046754976,204.2308678275869738424000000,22,2.688963971686963730976523728,-1.96934781597064365608200,NEGATIVE,
validation,LOW_COST,0.28732886433397739700,10028.7328864333977397000,15.40489116058678243025000000,13,0.5656863795074959509499480438,0.39177772711055919089600,POSITIVE,
validation,BASE_COST,-0.10444886277658179389600,9989.5551137223418206104,28.34128552132386418960000001,12,0.9031906129122404522900706727,0E-23,NEGATIVE,
validation,HIGH_COST,-0.33614146022630428216800,9966.3858539773695717832,56.65571657854065283280000001,12,1.020317071885416399553501718,-0.23169259744972248827200,NEGATIVE,
validation,STRESS_COST,-0.24130593653016694841600,9975.8694063469833051584,85.46726697710231896160000000,9,0.7109991878936138183329024933,-0.13685707375358515452000,NEGATIVE,
CONSOLIDATED,LOW_COST,0.1313856043213615641450,,41.25126929518211039475000000,35,0.9782943628784144424814131235,,POSITIVE,COST_SENSITIVITY_HIGH
CONSOLIDATED,BASE_COST,-0.26358328848444569141900,,77.56768622505989609080000001,33,1.270470357127358153094159219,,NEGATIVE,
CONSOLIDATED,HIGH_COST,-0.41478765239205489113400,,155.5869417884697864868000000,33,1.083337697737871383322349793,,NEGATIVE,COST_SENSITIVITY_HIGH
CONSOLIDATED,STRESS_COST,-1.31668573334656009672000,,289.6981348046892928040000000,31,2.688963971686963730976523728,,NEGATIVE,COST_SENSITIVITY_HIGH
