segment,trade_id,entry_time,exit_time,entry_price,exit_price,regime,regime_at_entry,regime_at_exit,regime_transition,mfe,mae,mfe_percent,mae_percent,time_to_mfe,time_to_mae,time_to_stop,time_to_target,exit_reason,gross_pnl,costs,net_pnl,holding_candles,excursion_efficiency
development,ETHUSDT-2022-02-05T00:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-906-TAKE_PROFIT-INTENT-ORDER-TRADE,2022-02-05T01:00:00+00:00,2022-02-07T18:59:59.999000+00:00,2983.36689600,3173.68115271,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,195.63310400,-33.15689600,6.557460440494208661354000624,-1.111391831975332074610510795,65,38,,65,TAKE_PROFIT,31.9183176712967625,2.438093206537423525000000000,29.853074436938088975,65,0.9098672820351508607663864496
development,ETHUSDT-2022-03-01T15:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-1479-STOP_LOSS-INTENT-ORDER-TRADE,2022-03-01T16:00:00+00:00,2022-03-03T15:59:59.999000+00:00,2951.05429300,2860.65042771,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,92.85570700,-134.70429300,3.146526555619693575051416379,-4.564615883873201244420480067,12,47,47,,STOP_LOSS,-15.3736428724707435,2.317387008840794313000000000,-17.350263508542837813,47,-1.098772256738296117868124142
development,ETHUSDT-2022-05-31T00:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-3613-STOP_LOSS-INTENT-ORDER-TRADE,2022-05-31T01:00:00+00:00,2022-05-31T13:59:59.999000+00:00,1994.24499500,1934.37641657,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,9.20500500,-58.61499500,0.4615784431240355200189433094,-2.939207326429820123479863616,2,12,12,,STOP_LOSS,-15.0395484688816734,2.314204822523009053200000001,-17.0133615669921224532,12,-7.357499670357593504837857231
development,ETHUSDT-2022-06-20T12:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4135-STOP_LOSS-INTENT-ORDER-TRADE,2022-06-20T13:00:00+00:00,2022-06-22T07:59:59.999000+00:00,1131.79170000,1066.75703271,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,62.20830000,-65.19170000,5.496444266201987521202002100,-5.760044008097956540943002144,25,42,42,,STOP_LOSS,-28.7379896330963796,2.273222828757159240800000000,-30.6810108961018188408,42,-1.116117379118542059500098861
development,ETHUSDT-2022-06-24T20:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4239-STOP_LOSS-INTENT-ORDER-TRADE,2022-06-24T21:00:00+00:00,2022-06-26T15:59:59.999000+00:00,1220.35365000,1219.49940245,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,59.64635000,-40.35365000,4.887628270706610333815939339,-3.306717687942343598513430922,39,19,42,,STOP_LOSS,-0.3490124297524865,2.342671160051745677,-2.342671158008939527,42,-0.09613251531568989552587878387
development,ETHUSDT-2022-07-08T01:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4520-STOP_LOSS-INTENT-ORDER-TRADE,2022-07-08T02:00:00+00:00,2022-07-08T08:59:59.999000+00:00,1263.00348400,1222.38087686,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,4.85651600,-46.25348400,0.3845211879082987549383513815,-3.662181821819899271156721528,2,6,6,,STOP_LOSS,-16.0327278792055714,2.299784987065188217200000000,-17.9945660741580996172,6,-9.388083115904487908615970791
development,ETHUSDT-2022-07-15T02:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4710-STOP_LOSS-INTENT-ORDER-TRADE,2022-07-15T03:00:00+00:00,2022-07-16T06:59:59.999000+00:00,1196.62705300,1195.78941406,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,91.19294700,-6.83705300,7.620832804287268608158401714,-0.5713603902618771899017061584,17,1,27,,STOP_LOSS,-0.3483001302623238,2.3378899805472002594,-2.3378899817530543924,27,-0.06165467899748869833102334109
development,ETHUSDT-2022-07-16T18:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4757-TAKE_PROFIT-INTENT-ORDER-TRADE,2022-07-16T19:00:00+00:00,2022-07-18T05:59:59.999000+00:00,1337.54562700,1448.18413243,TRENDING_UP,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,112.45437300,-22.94562700,8.407516777743537865867509580,-1.715502375157479394159015108,34,1,,34,TAKE_PROFIT,41.1482314918889343,2.449401099399320948600000000,39.0761164977580033514,34,0.9343082274900950272516303123
development,ETHUSDT-2022-07-18T05:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4775-TAKE_PROFIT-INTENT-ORDER-TRADE,2022-07-18T06:00:00+00:00,2022-07-18T23:59:59.999000+00:00,1434.56349200,1545.08482586,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,162.90650800,-7.56349200,11.35582418683215730405608287,-0.5272329905353537325345513533,17,0,,17,TAKE_PROFIT,38.4751553537987664,2.451356395308661852800000000,36.4005797415541845472,17,0.6418530389484501134847233973
development,ETHUSDT-2022-07-19T00:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-4828-STOP_LOSS-INTENT-ORDER-TRADE,2022-07-19T01:00:00+00:00,2022-07-21T04:59:59.999000+00:00,1561.23209800,1481.08679871,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,59.16790200,-97.67209800,3.789821005845089920768462192,-6.256090822442211920241983137,36,51,51,,STOP_LOSS,-25.7305225089346147,2.286546983191565330600000001,-27.6839859196307700306,51,-1.457376958936620737372097459
development,ETHUSDT-2022-07-28T02:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-5028-STOP_LOSS-INTENT-ORDER-TRADE,2022-07-28T03:00:00+00:00,2022-07-29T12:59:59.999000+00:00,1660.31140500,1659.14918702,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,124.47859500,-67.04140500,7.497304097600895538027096790,-4.037881375632663319565644976,17,9,33,,STOP_LOSS,-0.3498921615666092,2.3485761646989051716,-2.3485761636452107816,33,-0.06267052712187183668003322178
development,ETHUSDT-2022-08-11T12:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-5350-STOP_LOSS-INTENT-ORDER-TRADE,2022-08-11T13:00:00+00:00,2022-08-11T22:59:59.999000+00:00,1928.46898400,1874.21712900,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,0.27101600,-56.65898400,0.01405342799124841926936585878,-2.938029310820380816661347974,0,9,9,,STOP_LOSS,-14.0584757802352500,2.3110160269168323,-16.0292828842300323,9,-228.2419754774625852348200844
development,ETHUSDT-2022-10-26T08:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-7207-STOP_LOSS-INTENT-ORDER-TRADE,2022-10-26T09:00:00+00:00,2022-10-28T07:59:59.999000+00:00,1537.48548700,1487.70216471,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,57.50451300,-49.08548700,3.740166231565865831161500909,-3.192582135898886699539948243,5,46,46,,STOP_LOSS,-16.1551933838262435,2.301587039297269713000000000,-18.118601581095363213,46,-0.9709446212233811979244133413
development,ETHUSDT-2023-01-14T03:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-9082-STOP_LOSS-INTENT-ORDER-TRADE,2023-01-14T04:00:00+00:00,2023-01-14T10:59:59.999000+00:00,1557.16925600,1503.91794857,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,7.52074400,-53.82925600,0.4829753715610218803343751606,-3.456866091633137149478887477,4,6,6,,STOP_LOSS,-17.0310370947700569,2.294945275887541806200000000,-18.9890543622291987062,6,-7.894628754700332839410568954
development,ETHUSDT-2023-02-16T20:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-9886-STOP_LOSS-INTENT-ORDER-TRADE,2023-02-16T21:00:00+00:00,2023-02-16T22:59:59.999000+00:00,1686.16949300,1644.24679243,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,-1.16949300,-44.76949300,-0.06935797408594202338590169239,-2.655100402768347321771880735,0,1,1,,STOP_LOSS,-12.3584142816075907,2.303083749405720538600000000,-14.3219645121960212386,1,
development,ETHUSDT-2023-03-13T15:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-10501-TAKE_PROFIT-INTENT-ORDER-TRADE,2023-03-13T16:00:00+00:00,2023-03-14T13:59:59.999000+00:00,1665.85528300,1750.50236143,TRENDING_UP,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,99.14471700,-18.99528300,5.951580429090610267614704920,-1.140272098893958965822122977,21,0,,21,TAKE_PROFIT,25.2213351407424096,2.401227063644355859200000000,23.1854680391492537408,21,0.7848563745574058171954840519
development,ETHUSDT-2023-03-14T13:00:00+00:00-BUY-INTENT-ORDER-POSITION-EXIT-10507-STOP_LOSS-INTENT-ORDER-TRADE,2023-03-14T14:00:00+00:00,2023-03-14T19:59:59.999000+00:00,1733.66271500,1690.31023971,TRENDING_UP,TRENDING_UP,RANGING,TRENDING_UP->RANGING,46.35728500,-48.79271500,2.673950624819199621536533996,-2.814429506837493474040595030,0,5,5,,STOP_LOSS,-12.4409604117139728,2.304959352467487254400000000,-14.4061313365747400544,5,-1.082902529762474226003528895
