segment,scenario,entry_rules,exit_rules,net_return,closed_trades,drawdown,costs,warning
development,CURRENT,CURRENT,CURRENT,-0.42271771419230958894200,21,1.270470357127358153094159219,49.22640070373603190120000000,
development,TIME_EXIT_6,CURRENT,TIME_EXIT_6,-1.30326378002703158700,37,1.361075923190269781522211164,86.40192517186512870000000000,
development,TIME_EXIT_12,CURRENT,TIME_EXIT_12,0.1846524334469368831300,35,0.6624556701566388546201504989,82.52311524950462518700000000,
development,TIME_EXIT_24,CURRENT,TIME_EXIT_24,0.11064090915202537087600,27,0.5769078664854201137781314827,63.71884683131004311240000000,
development,TIME_EXIT_48,CURRENT,TIME_EXIT_48,-0.6965343073577639388200,21,1.106752114037515237459698598,49.03948960288140856800000000,
development,STOP_1.5_TARGET_1.5,CURRENT,STOP_1.5_TARGET_1.5,0,0,0,0,
development,STOP_1.5_TARGET_2.0,CURRENT,STOP_1.5_TARGET_2.0,-0.12422035937585507031800,30,1.097926072842858754098684671,70.54145877954522911780000000,
development,STOP_1.5_TARGET_2.5,CURRENT,STOP_1.5_TARGET_2.5,-0.2968053407404027621300,28,1.236126923419161875511088337,65.76236936168571789000000000,
development,STOP_2.0_TARGET_1.5,CURRENT,STOP_2.0_TARGET_1.5,0,0,0,0,
development,STOP_2.0_TARGET_2.0,CURRENT,STOP_2.0_TARGET_2.0,-0.42271771419230958894200,21,1.270470357127358153094159219,49.22640070373603190120000000,
development,STOP_2.0_TARGET_2.5,CURRENT,STOP_2.0_TARGET_2.5,0.02877005670959303903800,21,0.9482755631535777612413897717,49.53692155065678084820000000,
development,STOP_2.5_TARGET_1.5,CURRENT,STOP_2.5_TARGET_1.5,0,0,0,0,
development,STOP_2.5_TARGET_2.0,CURRENT,STOP_2.5_TARGET_2.0,-0.31466322155108915491800,21,1.146077244854907845198653879,49.34070627007168003180000000,
development,STOP_2.5_TARGET_2.5,CURRENT,STOP_2.5_TARGET_2.5,-1.12417352167248540385600,20,1.846407382552347756508752867,46.45449339080880173160000000,
development,TRAILING_DISABLED,CURRENT,TRAILING_DISABLED,-0.42271771419230958894200,21,1.270470357127358153094159219,49.22640070373603190120000000,
development,BREAK_EVEN_DISABLED,CURRENT,BREAK_EVEN_DISABLED,-0.17020979597144378976200,22,1.165245386291996614314854603,51.76858476269779707620000000,
validation,CURRENT,CURRENT,CURRENT,-0.10444886277658179389600,12,0.9031906129122404522900706727,28.34128552132386418960000001,
validation,TIME_EXIT_6,CURRENT,TIME_EXIT_6,-0.26764782008580568044800,19,0.6443644610629003347398745394,44.70238536161251044480000000,
validation,TIME_EXIT_12,CURRENT,TIME_EXIT_12,0.46723394712658422379200,15,0.4895276899445807985189965698,35.68585266218535802080000000,
validation,TIME_EXIT_24,CURRENT,TIME_EXIT_24,0.60351489851930133673200,14,0.4247610249723636624002631533,33.35220471745947960680000000,
validation,TIME_EXIT_48,CURRENT,TIME_EXIT_48,-0.10444886277658179389600,12,0.9031906129122404522900706727,28.34128552132386418960000001,
validation,STOP_1.5_TARGET_1.5,CURRENT,STOP_1.5_TARGET_1.5,0,0,0,0,
validation,STOP_1.5_TARGET_2.0,CURRENT,STOP_1.5_TARGET_2.0,-0.16453880222531168371400,15,0.6645872129999264316529336682,35.35032999355646555540000000,
validation,STOP_1.5_TARGET_2.5,CURRENT,STOP_1.5_TARGET_2.5,-0.29162518263873356052800,16,0.9234217421022402753933053038,37.67953390788918159480000000,
validation,STOP_2.0_TARGET_1.5,CURRENT,STOP_2.0_TARGET_1.5,0,0,0,0,
validation,STOP_2.0_TARGET_2.0,CURRENT,STOP_2.0_TARGET_2.0,-0.10444886277658179389600,12,0.9031906129122404522900706727,28.34128552132386418960000001,
validation,STOP_2.0_TARGET_2.5,CURRENT,STOP_2.0_TARGET_2.5,0.27562246878199835944800,9,0.5053687118648330575351938791,21.35920857064515492720000000,
validation,STOP_2.5_TARGET_1.5,CURRENT,STOP_2.5_TARGET_1.5,0,0,0,0,
validation,STOP_2.5_TARGET_2.0,CURRENT,STOP_2.5_TARGET_2.0,1.4546105649272043140500,10,0.6242036588717795159754806043,24.25603145421841338500000000,
validation,STOP_2.5_TARGET_2.5,CURRENT,STOP_2.5_TARGET_2.5,1.2302690014126235300700,9,0.7077209252581547353213857617,21.81894151086952766199999999,
validation,TRAILING_DISABLED,CURRENT,TRAILING_DISABLED,-0.10444886277658179389600,12,0.9031906129122404522900706727,28.34128552132386418960000001,
validation,BREAK_EVEN_DISABLED,CURRENT,BREAK_EVEN_DISABLED,-0.10444886277658179389600,12,0.9031906129122404522900706727,28.34128552132386418960000001,
