segment,parameter,value,is_base,net_return,closed_trades,maximum_drawdown_percent,warning,uses_consumed_test_period
development,BASE,BASE,True,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,BASE,BASE,True,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,short_ema_period,15,False,-2.40110897151854617195400,54,2.706821650644840394918621568,,False
validation,short_ema_period,15,False,0.6423057317893384314900,21,0.6852183278486598244045220674,,False
development,short_ema_period,20,False,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,short_ema_period,20,False,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,short_ema_period,25,False,-0.99860893828683409063800,8,1.214022620729883721041450679,,False
validation,short_ema_period,25,False,-0.2262217516790695480500,7,0.5362203169890827903619107790,,False
development,long_ema_period,40,False,-0.1162427164148929417400,7,0.9306878229424893866461867565,,False
validation,long_ema_period,40,False,0.11470420577118635866800,5,0.3929282403811962117113383209,,False
development,long_ema_period,50,False,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,long_ema_period,50,False,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,long_ema_period,60,False,-2.20581977387140425542600,43,3.035865442271161840513558558,,False
validation,long_ema_period,60,False,0.72866199781599587464800,21,0.4287330406378763586532895049,,False
development,minimum_volume_ratio,0.8,False,-0.61659447665076039750800,27,1.175250239441882790683795392,,False
validation,minimum_volume_ratio,0.8,False,0.26910976437866568714400,12,0.5326188742443730079129811660,,False
development,minimum_volume_ratio,1.0,False,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,minimum_volume_ratio,1.0,False,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,minimum_volume_ratio,1.2,False,-0.3675198124901750995500,20,0.9471684837732451037086253213,,False
validation,minimum_volume_ratio,1.2,False,-0.273693096119340665800,11,0.6255366796672889329405548365,,False
development,maximum_atr_relative,0.03,False,-4.4950556155086943422500,104,4.749419962777775822561929674,,False
validation,maximum_atr_relative,0.03,False,-1.18055601524035643301200,38,1.794704733461494716621268718,,False
development,maximum_atr_relative,0.05,False,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,maximum_atr_relative,0.05,False,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,maximum_atr_relative,0.07,False,-0.58804270085205274497800,9,1.382808065449469565253676276,,False
validation,maximum_atr_relative,0.07,False,0.52908382427681829209800,3,0.2424129457513319686551347258,,False
development,stop_atr_multiple,1.5,False,-0.12422035937585507031800,30,1.097926072842858754098684671,,False
validation,stop_atr_multiple,1.5,False,-0.16453880222531168371400,15,0.6645872129999264316529336682,,False
development,stop_atr_multiple,2.0,False,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,stop_atr_multiple,2.0,False,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,stop_atr_multiple,2.5,False,-0.31466322155108915491800,21,1.146077244854907845198653879,,False
validation,stop_atr_multiple,2.5,False,1.4546105649272043140500,10,0.6242036588717795159754806043,,False
development,target_r_multiple,1.5,False,0,0,0,,False
validation,target_r_multiple,1.5,False,0,0,0,,False
development,target_r_multiple,2.0,False,-0.42271771419230958894200,21,1.270470357127358153094159219,,False
validation,target_r_multiple,2.0,False,-0.10444886277658179389600,12,0.9031906129122404522900706727,,False
development,target_r_multiple,2.5,False,0.02877005670959303903800,21,0.9482755631535777612413897717,,False
validation,target_r_multiple,2.5,False,0.27562246878199835944800,9,0.5053687118648330575351938791,,False
