fill_id,liquidity_role,position_effect,horizon_ms,markout_bps,post_event_only
fill-0042-00000007,MAKER,OPEN_LONG,100,,True
fill-0042-00000007,MAKER,OPEN_LONG,250,,True
fill-0042-00000007,MAKER,OPEN_LONG,500,,True
fill-0042-00000007,MAKER,OPEN_LONG,1000,,True
fill-0042-00000007,MAKER,OPEN_LONG,3000,,True
fill-0042-00000007,MAKER,OPEN_LONG,5000,,True
fill-0042-00000007,MAKER,OPEN_LONG,15000,,True
fill-0042-00000007,MAKER,OPEN_LONG,60000,,True
fill-0042-00000015,TAKER,OPEN_LONG,100,,True
fill-0042-00000015,TAKER,OPEN_LONG,250,,True
fill-0042-00000015,TAKER,OPEN_LONG,500,,True
fill-0042-00000015,TAKER,OPEN_LONG,1000,,True
fill-0042-00000015,TAKER,OPEN_LONG,3000,,True
fill-0042-00000015,TAKER,OPEN_LONG,5000,,True
fill-0042-00000015,TAKER,OPEN_LONG,15000,,True
fill-0042-00000015,TAKER,OPEN_LONG,60000,,True
fill-0042-00000017,TAKER,OPEN_LONG,100,,True
fill-0042-00000017,TAKER,OPEN_LONG,250,,True
fill-0042-00000017,TAKER,OPEN_LONG,500,,True
fill-0042-00000017,TAKER,OPEN_LONG,1000,,True
fill-0042-00000017,TAKER,OPEN_LONG,3000,,True
fill-0042-00000017,TAKER,OPEN_LONG,5000,,True
fill-0042-00000017,TAKER,OPEN_LONG,15000,,True
fill-0042-00000017,TAKER,OPEN_LONG,60000,,True
fill-0042-00000023,TAKER,OPEN_LONG,100,,True
fill-0042-00000023,TAKER,OPEN_LONG,250,,True
fill-0042-00000023,TAKER,OPEN_LONG,500,,True
fill-0042-00000023,TAKER,OPEN_LONG,1000,,True
fill-0042-00000023,TAKER,OPEN_LONG,3000,,True
fill-0042-00000023,TAKER,OPEN_LONG,5000,,True
fill-0042-00000023,TAKER,OPEN_LONG,15000,,True
fill-0042-00000023,TAKER,OPEN_LONG,60000,,True
fill-0042-00000025,TAKER,OPEN_LONG,100,,True
fill-0042-00000025,TAKER,OPEN_LONG,250,,True
fill-0042-00000025,TAKER,OPEN_LONG,500,,True
fill-0042-00000025,TAKER,OPEN_LONG,1000,,True
fill-0042-00000025,TAKER,OPEN_LONG,3000,,True
fill-0042-00000025,TAKER,OPEN_LONG,5000,,True
fill-0042-00000025,TAKER,OPEN_LONG,15000,,True
fill-0042-00000025,TAKER,OPEN_LONG,60000,,True
