event_id,timestamp,event_type,order_id,reason_code,quantity,price
event-0042-00000002,2026-08-06T12:00:00+00:00,ORDER_CREATED,order-0042-00000001,,,
event-0042-00000003,2026-08-06T12:00:00+00:00,ORDER_SENT,order-0042-00000001,,,
event-0042-00000004,2026-08-06T12:00:00.035000+00:00,ORDER_ACK,order-0042-00000001,,,
event-0042-00000005,2026-08-06T12:00:00.035000+00:00,ORDER_WORKING,order-0042-00000001,,,
event-0042-00000006,2026-08-06T12:00:00.040000+00:00,CANCEL_REQUESTED,order-0042-00000001,,,
event-0042-00000008,2026-08-06T12:00:00.045000+00:00,ORDER_PARTIAL_FILL,order-0042-00000001,,1,2000.00
event-0042-00000009,2026-08-06T12:00:00.045000+00:00,POSITION_OPENED,order-0042-00000001,,,
event-0042-00000010,2026-08-06T12:00:00.055000+00:00,CANCEL_ACK,order-0042-00000001,,,
event-0042-00000012,2026-08-06T12:00:00+00:00,ORDER_CREATED,order-0042-00000011,,,
event-0042-00000013,2026-08-06T12:00:00+00:00,ORDER_SENT,order-0042-00000011,,,
event-0042-00000014,2026-08-06T12:00:00.035000+00:00,ORDER_ACK,order-0042-00000011,,,
event-0042-00000016,2026-08-06T12:00:00.030000+00:00,ORDER_PARTIAL_FILL,order-0042-00000011,,1,2000.10
event-0042-00000018,2026-08-06T12:00:00.030000+00:00,ORDER_FILL,order-0042-00000011,,2,2000.20
event-0042-00000020,2026-08-06T12:00:00+00:00,ORDER_CREATED,order-0042-00000019,,,
event-0042-00000021,2026-08-06T12:00:00+00:00,ORDER_SENT,order-0042-00000019,,,
event-0042-00000022,2026-08-06T12:00:00.035000+00:00,ORDER_ACK,order-0042-00000019,,,
event-0042-00000024,2026-08-06T12:00:00.030000+00:00,ORDER_PARTIAL_FILL,order-0042-00000019,,1,2000.10
event-0042-00000026,2026-08-06T12:00:00.030000+00:00,ORDER_PARTIAL_FILL,order-0042-00000019,,2,2000.20
