segment,scenario,entry_rules,exit_rules,net_return,closed_trades,drawdown,costs,warning
exit-comparison,CURRENT,CURRENT,CURRENT,-0.2765275447560661405100,33,1.270470357127358153094159219,77.54297639098308913700000000,
exit-comparison,TIME_EXIT_6,CURRENT,TIME_EXIT_6,-1.01030702928143387515600,58,1.406914440247978812787334624,135.4653416913806653156000000,
exit-comparison,TIME_EXIT_12,CURRENT,TIME_EXIT_12,1.27445219085568829150800,46,0.6624556701566388546201504989,108.9845172421788454492000000,
exit-comparison,TIME_EXIT_24,CURRENT,TIME_EXIT_24,0.56602174032817540268200,40,0.5769078664854201137781314827,94.64920008273547993580000000,
exit-comparison,TIME_EXIT_48,CURRENT,TIME_EXIT_48,-0.51359688324536843990200,32,1.106752114037515237459698598,74.92530508294777222020000000,
exit-comparison,STOP_1.5_TARGET_1.5,CURRENT,STOP_1.5_TARGET_1.5,0,0,0,0,
exit-comparison,STOP_1.5_TARGET_2.0,CURRENT,STOP_1.5_TARGET_2.0,-0.33492808721715538098600,44,1.097926072842858754098684671,103.4860899302039326646000000,
exit-comparison,STOP_1.5_TARGET_2.5,CURRENT,STOP_1.5_TARGET_2.5,-0.6031766375205399163600,44,1.236126923419161875511088337,103.3491862768761614620000000,
exit-comparison,STOP_2.0_TARGET_1.5,CURRENT,STOP_2.0_TARGET_1.5,0,0,0,0,
exit-comparison,STOP_2.0_TARGET_2.0,CURRENT,STOP_2.0_TARGET_2.0,-0.2765275447560661405100,33,1.270470357127358153094159219,77.54297639098308913700000000,
exit-comparison,STOP_2.0_TARGET_2.5,CURRENT,STOP_2.0_TARGET_2.5,0.71054481227334284976400,32,0.9482755631535777612413897717,75.83858206719131350760000000,
exit-comparison,STOP_2.5_TARGET_1.5,CURRENT,STOP_2.5_TARGET_1.5,0,0,0,0,
exit-comparison,STOP_2.5_TARGET_2.0,CURRENT,STOP_2.5_TARGET_2.0,0.99173995744111304165600,29,1.146077244854907845198653879,68.68576026371302826540000000,
exit-comparison,STOP_2.5_TARGET_2.5,CURRENT,STOP_2.5_TARGET_2.5,-0.02264232567220844875800,30,1.846407382552347756508752867,70.33812484975119616780000000,
exit-comparison,TRAILING_DISABLED,CURRENT,TRAILING_DISABLED,-0.2765275447560661405100,33,1.270470357127358153094159219,77.54297639098308913700000000,
exit-comparison,BREAK_EVEN_DISABLED,CURRENT,BREAK_EVEN_DISABLED,0.35445218631350707980200,32,1.165245386291996614314854603,75.55772188818974191980000000,
