stream,sample_index,receive_gap_ms,exchange_event_gap_ms,sampled_from_total
depth,0,0.921021,102.000,17554
depth,17,73.141719,102.000,17554
depth,35,102.986283,102.000,17554
depth,52,100.242494,102.000,17554
depth,70,110.153436,104.000,17554
depth,87,103.738533,104.000,17554
depth,105,111.114215,102.000,17554
depth,122,135.551955,102.000,17554
depth,140,102.877854,102.000,17554
depth,157,341.037703,102.000,17554
depth,175,102.830422,102.000,17554
depth,193,88.684976,102.000,17554
depth,210,236.669208,106.000,17554
depth,228,99.580444,102.000,17554
depth,245,493.459982,102.000,17554
depth,263,64.088987,102.000,17554
depth,280,102.257998,102.000,17554
depth,298,0.434532,102.000,17554
depth,315,102.809042,102.000,17554
depth,333,137.399421,102.000,17554
depth,351,5.164232,102.000,17554
depth,368,0.215584,102.000,17554
depth,386,265.023809,104.000,17554
depth,403,97.940005,104.000,17554
depth,421,17.996484,104.000,17554
depth,438,0.938512,102.000,17554
depth,456,136.080514,102.000,17554
depth,473,102.221391,102.000,17554
depth,491,108.111227,102.000,17554
depth,509,102.330705,102.000,17554
depth,526,102.313336,102.000,17554
depth,544,104.647899,104.000,17554
depth,561,168.196769,102.000,17554
depth,579,78.53237,102.000,17554
depth,596,101.774307,102.000,17554
depth,614,115.447377,104.000,17554
depth,631,102.610166,102.000,17554
depth,649,107.918356,104.000,17554
depth,667,107.018579,102.000,17554
depth,684,141.937379,102.000,17554
depth,702,125.241281,102.000,17554
depth,719,130.556671,104.000,17554
depth,737,14.72473,102.000,17554
depth,754,102.694368,102.000,17554
depth,772,167.196855,102.000,17554
depth,789,100.195738,102.000,17554
depth,807,122.010009,104.000,17554
depth,825,101.634707,102.000,17554
depth,842,103.801474,102.000,17554
depth,860,4.871788,102.000,17554
depth,877,125.848478,104.000,17554
depth,895,149.661425,102.000,17554
depth,912,102.489344,102.000,17554
depth,930,103.638633,102.000,17554
depth,947,61.20287,104.000,17554
depth,965,102.424486,102.000,17554
depth,983,52.168233,102.000,17554
depth,1000,107.63051,102.000,17554
depth,1018,1.788461,102.000,17554
depth,1035,0.559158,104.000,17554
depth,1053,20.334966,102.000,17554
depth,1070,71.559485,102.000,17554
depth,1088,101.767843,102.000,17554
depth,1105,151.362547,102.000,17554
depth,1123,176.914156,104.000,17554
depth,1141,115.103043,102.000,17554
depth,1158,102.467734,102.000,17554
depth,1176,32.512335,102.000,17554
depth,1193,68.826354,104.000,17554
depth,1211,103.719516,104.000,17554
depth,1228,110.243749,102.000,17554
depth,1246,101.754775,102.000,17554
depth,1263,179.788146,102.000,17554
depth,1281,79.010212,102.000,17554
