configuration,period,exit_reason,count,net_pnl
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,STOP_LOSS,15,-1228.335216279591561316435950
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,TAKE_PROFIT,6,965.6406825257205500044470926
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,TIME_EXIT,0,0
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,FORCED_END,0,0
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_BASELINE_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_LONG_BASELINE_1X,VALIDATION,STOP_LOSS,6,-511.9168818818966161732286320
FUTURES_LONG_BASELINE_1X,VALIDATION,TAKE_PROFIT,6,839.6390661025834198707195209
FUTURES_LONG_BASELINE_1X,VALIDATION,TIME_EXIT,0,0
FUTURES_LONG_BASELINE_1X,VALIDATION,FORCED_END,0,0
FUTURES_LONG_BASELINE_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,STOP_LOSS,41,-3826.668957403269918028154274
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,TAKE_PROFIT,19,3239.011253897895796940694727
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,TIME_EXIT,0,0
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,FORCED_END,0,0
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,MANUAL_SIMULATED_EXIT,0,0
FUTURES_SHORT_MIRRORED_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_SHORT_MIRRORED_1X,VALIDATION,STOP_LOSS,12,-1247.094323303753462173034826
FUTURES_SHORT_MIRRORED_1X,VALIDATION,TAKE_PROFIT,9,1602.549260425316792434998040
FUTURES_SHORT_MIRRORED_1X,VALIDATION,TIME_EXIT,0,0
FUTURES_SHORT_MIRRORED_1X,VALIDATION,FORCED_END,0,0
FUTURES_SHORT_MIRRORED_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,STOP_LOSS,56,-4991.897998751649512536582098
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,TAKE_PROFIT,25,4156.983205665940453139937216
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,TIME_EXIT,0,0
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,FORCED_END,0,0
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,STOP_LOSS,18,-1792.271818044457405248700983
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,TAKE_PROFIT,15,2487.097983763045520924907160
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,TIME_EXIT,0,0
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,FORCED_END,0,0
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,STOP_LOSS,36,-3018.914550657827742673685056
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,TAKE_PROFIT,11,1605.614622299877189979367441
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,TIME_EXIT,55,311.942625045310661438070812
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,FORCED_END,0,0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,STOP_LOSS,7,-629.5790091725750356816452728
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,TAKE_PROFIT,11,1900.760993986188380393820161
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,TIME_EXIT,24,-150.578481461755757458988563
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,FORCED_END,0,0
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,STOP_LOSS,43,-3648.798205010716672531439403
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,TAKE_PROFIT,17,2658.840464717581443507485657
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,TIME_EXIT,26,67.297815357027429216584554
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,FORCED_END,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,STOP_LOSS,11,-1071.076491987768501125305146
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,TAKE_PROFIT,11,1858.413654539427762472903443
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,TIME_EXIT,14,-34.516041156657469533236677
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,FORCED_END,0,0
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,MANUAL_SIMULATED_EXIT,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,LIQUIDATION,0,0
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,STOP_LOSS,55,-4700.309979378336741894400198
