symbol,funding_time,funding_rate,mark_price
ETHUSDT,2022-01-01T00:00:00.006000+00:00,0.00010000,
ETHUSDT,2022-01-01T08:00:00.009000+00:00,0.00010000,
ETHUSDT,2022-01-01T16:00:00+00:00,0.00010000,
ETHUSDT,2022-01-02T00:00:00.028000+00:00,0.00003876,
ETHUSDT,2022-01-02T08:00:00+00:00,0.00002263,
ETHUSDT,2022-01-02T16:00:00+00:00,0.00006714,
ETHUSDT,2022-01-03T00:00:00.010000+00:00,0.00006973,
ETHUSDT,2022-01-03T08:00:00.013000+00:00,0.00005084,
ETHUSDT,2022-01-03T16:00:00.018000+00:00,0.00007394,
ETHUSDT,2022-01-04T00:00:00+00:00,0.00010000,
ETHUSDT,2022-01-04T08:00:00.010000+00:00,0.00010000,
ETHUSDT,2022-01-04T16:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-01-05T00:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-01-05T08:00:00.017000+00:00,0.00010000,
ETHUSDT,2022-01-05T16:00:00+00:00,0.00010000,
ETHUSDT,2022-01-06T00:00:00.002000+00:00,0.00005376,
ETHUSDT,2022-01-06T08:00:00.021000+00:00,0.00010000,
ETHUSDT,2022-01-06T16:00:00.006000+00:00,0.00004332,
ETHUSDT,2022-01-07T00:00:00.005000+00:00,0.00001935,
ETHUSDT,2022-01-07T08:00:00+00:00,0.00010000,
ETHUSDT,2022-01-07T16:00:00.001000+00:00,0.00010000,
ETHUSDT,2022-01-08T00:00:00.014000+00:00,0.00010000,
ETHUSDT,2022-01-08T08:00:00.013000+00:00,0.00010000,
ETHUSDT,2022-01-08T16:00:00+00:00,0.00010000,
ETHUSDT,2022-01-09T00:00:00.003000+00:00,0.00010000,
ETHUSDT,2022-01-09T08:00:00+00:00,-0.00007234,
ETHUSDT,2022-01-09T16:00:00+00:00,0.00005470,
ETHUSDT,2022-01-10T00:00:00+00:00,-0.00014593,
ETHUSDT,2022-01-10T08:00:00.010000+00:00,-0.00006361,
ETHUSDT,2022-01-10T16:00:00.007000+00:00,0.00001599,
ETHUSDT,2022-01-11T00:00:00.013000+00:00,0.00010000,
ETHUSDT,2022-01-11T08:00:00.004000+00:00,0.00006198,
ETHUSDT,2022-01-11T16:00:00+00:00,0.00002718,
ETHUSDT,2022-01-12T00:00:00.012000+00:00,-0.00006878,
ETHUSDT,2022-01-12T08:00:00.015000+00:00,0.00008036,
ETHUSDT,2022-01-12T16:00:00+00:00,-0.00019812,
ETHUSDT,2022-01-13T00:00:00.007000+00:00,-0.00002315,
ETHUSDT,2022-01-13T08:00:00+00:00,0.00010000,
ETHUSDT,2022-01-13T16:00:00.014000+00:00,-0.00001444,
ETHUSDT,2022-01-14T00:00:00+00:00,0.00010000,
ETHUSDT,2022-01-14T08:00:00.006000+00:00,0.00010000,
ETHUSDT,2022-01-14T16:00:00.014000+00:00,-0.00001294,
ETHUSDT,2022-01-15T00:00:00+00:00,0.00009632,
ETHUSDT,2022-01-15T08:00:00.002000+00:00,0.00010000,
ETHUSDT,2022-01-15T16:00:00+00:00,0.00010000,
ETHUSDT,2022-01-16T00:00:00+00:00,0.00002224,
ETHUSDT,2022-01-16T08:00:00.017000+00:00,0.00009785,
ETHUSDT,2022-01-16T16:00:00.011000+00:00,0.00008585,
ETHUSDT,2022-01-17T00:00:00.005000+00:00,0.00002683,
ETHUSDT,2022-01-17T08:00:00.006000+00:00,0.00004250,
