configuration,period,scenario,diagnostic_only,warning,with_funding_net_pnl,without_funding_net_pnl,absolute_difference,long_difference,short_difference,net_funding,pnl_explained_percent,candidate_assessment_eligible
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,-262.694533753871011311988854,-248.826066520730625462857139,-13.868467233140385849131715,-13.8684672331403858491317167,0,-13.893438900375210628417431,-5.279313214082446828766288000,False
FUTURES_LONG_BASELINE_1X,VALIDATION,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,327.72218422068680369749088,339.62811615351693350357143,-11.90593193283012980608055,-11.9059319328301298060805404,0,-11.911812257505824766794826,-3.632934389578193162930186099,False
FUTURES_SHORT_MIRRORED_1X,DEVELOPMENT,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,-587.657703505374121087459593,-589.954079485176131952857139,2.296375979802010865397546,0,2.2963759798020108653975952,2.123762458227326077540453,0.3907676128644522296663188399,False
FUTURES_SHORT_MIRRORED_1X,VALIDATION,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,355.45493712156333026196322,348.06988930071663058285714,7.38504782084669967910608,0,7.3850478208466996791060737,7.372283887722725134820359,2.077632647516458673402889648,False
FUTURES_LONG_SHORT_BASELINE_1X,DEVELOPMENT,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,-834.914793085709059396644907,-824.100549563879547846428583,-10.814243521829511550216324,-13.9555737769868930397365472,3.1413302551573814895202377,-11.948010960720513155930595,-1.295251157529719798158306888,False
FUTURES_LONG_SHORT_BASELINE_1X,VALIDATION,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,694.82616571858811567620620,699.51943268877812972785716,-4.69326697019001405165096,-12.1190770730879005040469946,7.4258101028978864523960322,-4.677881360171770388079534,-0.6754591582394201885439859010,False
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,DEVELOPMENT,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,-1101.357303312639891256246804,-1092.490580808313018883571437,-8.866722504326872372675367,-7.3309921291571173460931679,-1.5357303751697550265822080,-9.373153030277541219818233,-0.8050722937649504312511426778,False
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,VALIDATION,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,1120.60350335185758725318633,1126.29328842296337846428572,-5.68978507110579121109939,-6.7545061770621451812095165,1.0647211059563539701101298,-5.653250809711257521099387,-0.5077429308481520234163026674,False
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,DEVELOPMENT,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,-922.659924936107799807369199,-913.622433715618142742857138,-9.037491220489657064512061,-9.02896441017287767150728043,-0.0085268103167793930047702,-9.615135317832882455940622,-0.9795040378626484449596276270,False
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,VALIDATION,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,752.82112139500179181436162,759.20664339352763965714286,-6.38552199852584784278124,-7.8010815825944040994695328,1.4155595840685562566882969,-6.295106619145935748495522,-0.8482123863226990570068269319,False
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,DEVELOPMENT,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,-960.079040130197366421309200,-945.631863206248226080714279,-14.447176923949140340594921,-17.52047659199193429237141217,3.0732996680427939517765267,-15.559061548098236745952028,-1.504790368300295662209896470,False
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,VALIDATION,FUNDING_DISABLED_EXPLICITLY,True,FUNDING_DISABLED_DIAGNOSTIC_ONLY,1322.40783565504246984293743,1326.86499098263542790928573,-4.45715532759295806634830,-13.2062667954430236719498397,8.7491114678500656056015454,-4.372245132083965701348294,-0.3370484662460539239381025811,False
