configuration,period,scenario,fold,train_start,train_end,validation_start,validation_end,leverage,trades,long_trades,short_trades,net_return_percent,gross_return_percent,maximum_drawdown_percent,win_rate_percent,profit_factor,expectancy,trading_fees,funding_paid,funding_received,net_funding,liquidation_fees,liquidation_count,exposure_long_percent,exposure_short_percent,average_margin_utilization_percent,average_effective_leverage,minimum_margin_ratio,best_trade_concentration_percent,bankrupt,depleted,warnings,dataset_hash
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,1,2022-01-01T00:00:00+00:00,2022-12-31T23:59:59.999000+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,1,3,3,0,-0.2177957470873381609221285300,-0.1327906887231901857142857158,1.164425124674848618239953276,33.33333333333333333333333333,0.8373565775402975983547156991,-7.25985823624460536407095242,7.488048339993462480714285715,1.012457496421335040070000,0,-1.012457496421335040070000,0,0,1.2500,0,0.3113435584227771447716141269,0.003161706375765409260474049219,2.00E+4,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,8268dabcb776e6f626bd22998d9f2c2eb320457c0e407c0dcd8adf2c93df5760
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,2,2022-04-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,73134a10050fdc11a1356f6b6a9d583b1f4da2d950396861f66e0af939671b09
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,3,2022-06-30T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,ff093c8dfc3fd953e6501cab63095d3c42a2c51693c331958791f20fe9bf2f37
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,4,2022-09-28T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,1,1,1,0,-0.7214979242945030298428571500,-0.6968463474841021714285714325,0.7214979242945030298428571500,0,0E+26,-72.14979242945030298428571468,2.465157681040085841428571428,0,0,0,0,0,0.04629629629629629629629629630,0,0.01158877128335311852203938682,0.0001153577680247634606696072947,2.00E+4,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,dd967b08f692916f8fafb65395f3813766cd131990e02da75d8137a837488bb0
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,5,2022-12-27T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,2023-12-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,1,1,1,0,-1.049153288915244444728571430,-1.015287444691347514285714287,2.060078761019413073987926039,0,0E+25,-104.9153288915244444728571430,2.233157750763128044285714286,1.153426671626565000000000,0,-1.153426671626565000000000,0,0,2.129629629629629629629629630,0,0.4853846767266438483611181019,0.004901496166135068716330917389,2.00E+4,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f766fa68dd9c46fb91528b444b0655c7e6d6a98c5ae767dc4fb61e8466a3e2fd
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,6,2023-03-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,2024-03-26T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,1,1,1,0,1.877640324917353249894420600,1.928681718755230399999999998,1.002236801433533221264583306,100,,187.7640324917353249894420588,2.59613791962496271000000,2.508001464162752300557941,0,-2.508001464162752300557941,0,0,2.777777777777777777777777778,0,0.6883413556344778274450207417,0.007131469803999469431699700509,2.00E+4,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,fa80a0506c0acb70eeb5ac7a7984f200a68b476249c72690e37ebfd017c30578
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,7,2023-06-25T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,2024-06-24T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,f6d1bfb5905266a4f562953ca0d27e1a5cb85f39187c9b53613f38915e2a7da5
FUTURES_LONG_BASELINE_1X,DEVELOPMENT,BASE_COST,8,2023-09-23T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,2024-09-22T00:00:00+00:00,2024-12-20T23:59:59.999000+00:00,1,2,2,0,0.674386245218110219889254200,0.7484490183837670857142857154,0.8793836579418414447157816650,50.0,2.101298146985005345523542107,33.71931226090551099446271364,5.069590984309806854285714286,2.336686332255879728217430,0,-2.336686332255879728217430,0,0,2.592592592592592592592592593,0,0.6457161243374381102266156986,0.006559217095861542856937050468,2.00E+4,100,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,d9fcd6c00cf3517d55ead1dec935d3bcbab827f03a2ca4f164db04538e99edc9
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,1,2024-01-02T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,2025-01-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,c481a30cfd29774c5ac3c88865d80f80a9d0df7789efd24cc898cf4b4a7dd872
FUTURES_LONG_BASELINE_1X,VALIDATION,BASE_COST,2,2024-04-01T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00+00:00,2025-06-29T23:59:59.999000+00:00,1,6,6,0,2.382622472576261059246990800,2.573506575493295828571428576,1.777442620678541212700572087,50.0,1.856687127281215978321268189,39.71037454293768432078318102,15.12226682168817716142857142,3.966143470015299771015200,0,-3.966143470015299771015200,0,0,5.833333333333333333333333333,0,1.417959260547005126853881222,0.01417114065970632887707427969,2.00E+4,37.69039331643234475279348948,False,False,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE,0ee8c2a5fc594ceb05315602958b73e3205db92dfdd4766ea8b2c34ce13051d2
