configuration,entry_regime,exit_regime,transition,transition_path,trades,net_pnl,win_rate_percent,mean_mfe,mean_mae,mean_holding_candles,exit_reasons
FUTURES_LONG_BASELINE_1X,RANGING,RANGING,RANGING->RANGING,RANGING,1,-64.59068567828734681714285755,0,0,-63.95865315756743,2,"{""STOP_LOSS"": 1}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,RANGING,TRENDING_UP->RANGING,TRENDING_UP->RANGING,12,-661.0162227262402838670967930,8.333333333333333333333333333,49.131898731206985,-83.25686826321081916666666667,17.75,"{""STOP_LOSS"": 11, ""TAKE_PROFIT"": 1}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,RANGING,TRENDING_UP->RANGING,TRENDING_UP->RANGING->TRENDING_UP->RANGING,9,-139.0952496327766301088186610,33.33333333333333333333333333,104.07447080078978,-75.30993033244355333333333333,39.55555555555555555555555556,"{""STOP_LOSS"": 6, ""TAKE_PROFIT"": 3}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,RANGING,TRENDING_UP->RANGING,TRENDING_UP->RANGING->TRENDING_UP->RANGING->TRENDING_UP->RANGING,3,132.1956286879156625377635132,66.66666666666666666666666667,116.38247105437579,-67.85674924535754333333333333,68.66666666666666666666666667,"{""STOP_LOSS"": 1, ""TAKE_PROFIT"": 2}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,RANGING,TRENDING_UP->RANGING,TRENDING_UP->RANGING->TRENDING_UP->RANGING->TRENDING_UP->RANGING->TRENDING_UP->RANGING,3,-13.3420757989749716553596009,33.33333333333333333333333333,157.9252161115788766666666667,-66.25420639428779,76.33333333333333333333333333,"{""STOP_LOSS"": 2, ""TAKE_PROFIT"": 1}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,TRENDING_UP,2,313.3036989972570241556960412,100,202.64911356027966,-25.74495454402034,8,"{""TAKE_PROFIT"": 2}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,TRENDING_UP->RANGING->TRENDING_UP->RANGING->TRENDING_UP,2,303.8594575204711858510928575,100,196.049096424116925,-73.014691990233075,34.5,"{""TAKE_PROFIT"": 2}"
FUTURES_LONG_BASELINE_1X,TRENDING_UP,TRENDING_UP,TRENDING_UP->TRENDING_UP,TRENDING_UP->RANGING->TRENDING_UP->RANGING->TRENDING_UP->RANGING->TRENDING_UP,1,185.1040145559476496092300704,100,206.33164487682516,-37.50319777237484,36,"{""TAKE_PROFIT"": 1}"
FUTURES_SHORT_MIRRORED_1X,HIGH_VOLATILITY,HIGH_VOLATILITY,HIGH_VOLATILITY->HIGH_VOLATILITY,HIGH_VOLATILITY,1,192.7940400087060286114285712,100,199.99872138900400,-33.68897379929600,1,"{""TAKE_PROFIT"": 1}"
FUTURES_SHORT_MIRRORED_1X,RANGING,RANGING,RANGING->RANGING,RANGING,4,-351.4525702275792553880718659,0,9.6860494166676775,-96.1614444639155725,16.75,"{""STOP_LOSS"": 4}"
FUTURES_SHORT_MIRRORED_1X,RANGING,RANGING,RANGING->RANGING,RANGING->TRENDING_DOWN->RANGING,1,-55.66380088892041847793130014,0,42.53350831389824,-68.07603346530176,30,"{""STOP_LOSS"": 1}"
FUTURES_SHORT_MIRRORED_1X,RANGING,TRENDING_DOWN,RANGING->TRENDING_DOWN,RANGING->TRENDING_DOWN,2,314.1521809909605220477794238,100,199.601008196108625,-16.785312266091375,9,"{""TAKE_PROFIT"": 2}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,HIGH_VOLATILITY,TRENDING_DOWN->HIGH_VOLATILITY,TRENDING_DOWN->RANGING->HIGH_VOLATILITY,1,-106.9832311973493839592415819,0,83.96095746688848,-130.68361247071152,7,"{""STOP_LOSS"": 1}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->HIGH_VOLATILITY->RANGING->HIGH_VOLATILITY->RANGING,1,-99.46001804580580200586112964,0,86.90181846521358,-106.42020593678642,15,"{""STOP_LOSS"": 1}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->RANGING,34,-2690.141101718380853915906749,5.882352941176470588235294118,64.45520913738820647058823529,-110.6774708411103594117647059,19.64705882352941176470588235,"{""STOP_LOSS"": 32, ""TAKE_PROFIT"": 2}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING,7,-456.0001776914890737020582253,14.28571428571428571428571429,99.53855028134818571428571429,-99.25019691662324285714285714,42.14285714285714285714285714,"{""STOP_LOSS"": 6, ""TAKE_PROFIT"": 1}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING,4,386.6803846780168196396121137,75.00,180.680613191394665,-82.534246211055335,77.75,"{""STOP_LOSS"": 1, ""TAKE_PROFIT"": 3}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING,1,-110.3622275653121601129807507,0,142.78709254927140,-120.19773548272860,91,"{""STOP_LOSS"": 1}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,TRENDING_DOWN,TRENDING_DOWN->TRENDING_DOWN,TRENDING_DOWN,13,597.6171775557820217433908434,53.84615384615384615384615385,156.6447335316561646153846154,-70.82118734910537384615384615,3.615384615384615384615384615,"{""STOP_LOSS"": 6, ""TAKE_PROFIT"": 7}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,TRENDING_DOWN,TRENDING_DOWN->TRENDING_DOWN,TRENDING_DOWN->HIGH_VOLATILITY->TRENDING_DOWN->HIGH_VOLATILITY->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN,1,201.6460601095122410068430990,100,205.04587960823618,-85.03410801996382,49,"{""TAKE_PROFIT"": 1}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,TRENDING_DOWN,TRENDING_DOWN->TRENDING_DOWN,TRENDING_DOWN->RANGING->TRENDING_DOWN,9,1518.374610387378711392986229,100,206.4758679947792644444444444,-53.71793436956518,13.55555555555555555555555556,"{""TAKE_PROFIT"": 9}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,TRENDING_DOWN,TRENDING_DOWN->TRENDING_DOWN,TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN,1,200.2718641886018953927444875,100,205.14612587058211,-18.07910866691789,31,"{""TAKE_PROFIT"": 1}"
FUTURES_SHORT_MIRRORED_1X,TRENDING_DOWN,TRENDING_DOWN,TRENDING_DOWN->TRENDING_DOWN,TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING->TRENDING_DOWN,1,205.4354570016563820539081955,100,228.90883148073540,-55.63871913926460,60,"{""TAKE_PROFIT"": 1}"
FUTURES_LONG_SHORT_BASELINE_1X,HIGH_VOLATILITY,HIGH_VOLATILITY,HIGH_VOLATILITY->HIGH_VOLATILITY,HIGH_VOLATILITY,1,187.7294464897112692114285712,100,194.74486484806400,-32.80398296473600,1,"{""TAKE_PROFIT"": 1}"
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,RANGING,RANGING->RANGING,RANGING,5,-413.1573533968151325480718663,0,7.568431493730892,-89.008180290831166,13.8,"{""STOP_LOSS"": 5}"
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,RANGING,RANGING->RANGING,RANGING->TRENDING_DOWN->RANGING,1,-53.83846419426637319058135043,0,41.13874237557036,-65.84367275822964,30,"{""STOP_LOSS"": 1}"
FUTURES_LONG_SHORT_BASELINE_1X,RANGING,TRENDING_DOWN,RANGING->TRENDING_DOWN,RANGING->TRENDING_DOWN,2,308.2435964315382481152387152,100,196.02872059583946,-16.48875504261054,9,"{""TAKE_PROFIT"": 2}"
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,HIGH_VOLATILITY,TRENDING_DOWN->HIGH_VOLATILITY,TRENDING_DOWN->RANGING->HIGH_VOLATILITY,1,-104.6538008587924665375936550,0,82.13280926657031,-127.83813502312969,7,"{""STOP_LOSS"": 1}"
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->HIGH_VOLATILITY->RANGING->HIGH_VOLATILITY->RANGING,1,-96.19850921000828904449491478,0,84.05212012069254,-102.93045750530746,15,"{""STOP_LOSS"": 1}"
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->RANGING,34,-2615.342060168616629066625821,5.882352941176470588235294118,63.04605964890479617647058824,-107.8839752180475452941176471,19.64705882352941176470588235,"{""STOP_LOSS"": 32, ""TAKE_PROFIT"": 2}"
FUTURES_LONG_SHORT_BASELINE_1X,TRENDING_DOWN,RANGING,TRENDING_DOWN->RANGING,TRENDING_DOWN->RANGING->TRENDING_DOWN->RANGING,7,-444.0456703631296014319396365,14.28571428571428571428571429,97.24977406629616285714285714,-96.46436400864669428571428571,42.14285714285714285714285714,"{""STOP_LOSS"": 6, ""TAKE_PROFIT"": 1}"
