configuration,boundary,segment,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning,boundary_classification,selection_eligible
FUTURES_LONG_BASELINE_1X,A,DEVELOPMENT,A-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-4.055206676033899961909566310,-3.579710681385986257142857118,-405.5206676033899961909566310,-357.9710681385986257142857118,17,17,0,23.52941176470588235294117647,0.6204578160065376394290106650,-23.85415691784647036417391947,-74.67495444013132673463983688,4.986563797121029862119298570,2.996555683122847301951779564,0,39.40392577306239374714285714,8.452021771243556126075384,0.306348079514579396547322,-8.145673691728976729528062,0,False,False,17,13,4,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",28.37569228086572135492949653,83.61783749910702766087491986,100,-593.6305736351088278783027271,-959.8452422725042028758675537,-1068.446893930438880365720412,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,A,VALIDATION,A-VALIDATION,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,1.428261338495189848789677735,1.580845719346487014285714283,142.8261338495189848789677735,158.0845719346487014285714283,4,4,0,50.0,1.893286837656758263140218764,35.70653346237974621974194338,32.61358277927515020157077162,1.006607958786138267814285720,1.844262295081967213114754098,0,9.510672876483482650714285715,5.747765208646233898889369,0,-5.747765208646233898889369,0,True,False,4,2,2,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",58.88709987890057320852018007,100,100,-35.4336303200635263782870284,-159.8883223491526809507155386,-159.8883223491526809507155386,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,A,REFERENCE_ONLY,A-REFERENCE,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,3.191130996791833010173534274,3.606637805411689514285714291,319.1130996791833010173534274,360.6637805411689514285714291,12,12,0,50.0,1.640186313663646229413471970,26.59275830659860841811278562,11.67998296013501505433737882,1.702177039578931974717501583,4.680365296803652968036529680,0,29.95178538684694002571428571,11.598895475138710385503716,0,-11.598895475138710385503716,0,True,False,12,6,6,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",23.17980359972495537229489949,61.50056164472437057983957877,89.16472686103647427091159081,129.5991500517843504930677129,-183.7045489454726736626283283,-409.8818412047747783613067873,,SIGN_CHANGE,False
FUTURES_LONG_BASELINE_1X,B,DEVELOPMENT,B-DEVELOPMENT,2022-01-05T04:00:00+00:00,2024-06-30T23:59:59.999000+00:00,TRADE_EXIT_TIME,-3.279216993124213117151304007,-2.722770711286129428571428550,-327.9216993124213117151304007,-272.2770711286129428571428550,19,19,0,26.31578947368421052631578947,0.7195111261598322881185947145,-17.25903680591691114290160004,-74.67495444013132673463983688,5.587392578454275412994839729,2.882320543418395447035065173,0,44.01125058632380757857142857,11.939725676999140675963439,0.306348079514579396547322,-11.633377597484561279416117,0,False,False,19,14,5,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 21067, ""TRENDING_DOWN"": 456, ""TRENDING_UP"": 234}",22.36246301732388809179303893,65.89797986790580638479483482,100,-516.0316053441401434024764968,-882.2462739815355184000413234,-1169.107689809052707147148983,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,B,VALIDATION,B-VALIDATION,2024-07-01T00:00:00+00:00,2025-06-30T23:59:59.999000+00:00,TRADE_EXIT_TIME,2.972303930044575874412046116,3.229807705620049885714285719,297.2303930044575874412046116,322.9807705620049885714285719,8,8,0,50.0,1.900583683745265935020558601,37.15379912555719843015057645,32.61358277927515020157077162,1.691577096479590120453290905,2.077625570776255707762557078,0,19.62836120089209657428571428,6.122016356655304555938246,0,-6.122016356655304555938246,0,True,False,8,4,4,0,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 8448, ""TRENDING_DOWN"": 178, ""TRENDING_UP"": 115}",30.21238740255738670849060714,80.15938469415340418218533469,100,107.7164433770586369169188971,-205.5872556201983872387771441,-330.0419476492875418112056543,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,C,DEVELOPMENT,C-DEVELOPMENT,2022-01-05T04:00:00+00:00,2024-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-2.626945337538710113119888575,-1.998864962039499242857142835,-262.6945337538710113119888575,-199.8864962039499242857142835,21,21,0,28.57142857142857142857142857,0.7861377494740190443414079675,-12.50926351208909577676137417,-69.72704836279782051857142895,5.587392578454275412994839729,2.610288505571668447565257213,0,48.91459864954587639785714286,14.199786979889790024964753,0.306348079514579396547322,-13.893438900375210628417431,0,False,False,21,15,6,0,0,"{""HIGH_VOLATILITY"": 37, ""RANGING"": 25363, ""TRENDING_DOWN"": 528, ""TRENDING_UP"": 276}",19.48032114178333470815080688,57.40484889464558819682768596,88.75340966643231784102962449,-450.8044397855898429993349536,-817.0191084229852179968997802,-1119.733564621656883826583092,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,C,VALIDATION,C-VALIDATION,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,3.191130996791833010173534274,3.606637805411689514285714291,319.1130996791833010173534274,360.6637805411689514285714291,12,12,0,50.0,1.640186313663646229413471970,26.59275830659860841811278562,11.67998296013501505433737882,1.702177039578931974717501583,4.680365296803652968036529680,0,29.95178538684694002571428571,11.598895475138710385503716,0,-11.598895475138710385503716,0,True,False,12,6,6,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",23.17980359972495537229489949,61.50056164472437057983957877,89.16472686103647427091159081,129.5991500517843504930677129,-183.7045489454726736626283283,-409.8818412047747783613067873,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,D,DEVELOPMENT,D-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,-4.055206676033899961909566310,-3.579710681385986257142857118,-405.5206676033899961909566310,-357.9710681385986257142857118,17,17,0,23.52941176470588235294117647,0.6204578160065376394290106650,-23.85415691784647036417391947,-74.67495444013132673463983688,4.986563797121029862119298570,2.996555683122847301951779564,0,39.40392577306239374714285714,8.452021771243556126075384,0.306348079514579396547322,-8.145673691728976729528062,0,False,False,17,13,4,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",28.37569228086572135492949653,83.61783749910702766087491986,100,-593.6305736351088278783027271,-959.8452422725042028758675537,-1068.446893930438880365720412,,SIGN_CHANGE,True
FUTURES_LONG_BASELINE_1X,D,VALIDATION,D-VALIDATION,2024-01-01T00:00:00+00:00,2025-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,4.619392335287022858963212009,5.187483524758176528571428574,461.9392335287022858963212009,518.7483524758176528571428574,16,16,0,50.0,1.701654167449351772262609723,28.87120209554389286852007506,14.67986934496969054269103808,1.679137323307721189198793666,3.260373917008663930688554492,0,39.46245826333042267642857143,17.346660683784944284393085,0,-17.346660683784944284393085,0,True,False,16,8,8,0,0,"{""HIGH_VOLATILITY"": 19, ""RANGING"": 17001, ""TRENDING_DOWN"": 280, ""TRENDING_UP"": 244}",16.91640759224843728579089603,47.92521728610755939127101365,71.90346378524910590319980377,272.4252839013033353720354864,-74.9653761003177195705221729,-343.5928712946253546133438669,,SIGN_CHANGE,True
FUTURES_SHORT_MIRRORED_1X,A,DEVELOPMENT,A-DEVELOPMENT,2022-01-05T04:00:00+00:00,2023-12-31T23:59:59.999000+00:00,TRADE_EXIT_TIME,1.292357182881505843009123651,2.253333603589872271428571419,129.2357182881505843009123651,225.3333603589872271428571419,41,0,41,36.58536585365853658536585366,1.051460941256054819923400658,3.152090689954892300022252807,-78.26908035158154773571428543,5.956325785787464319488301852,0,5.344431687715269804822043628,92.13388615255577212642857145,9.896140120353010410199510,5.932384202072139694683305,-3.963755918280870715516205,0,True,False,42,26,15,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 16786, ""TRENDING_DOWN"": 407, ""TRENDING_UP"": 196}",7.779961046149148863974386836,23.09426710373951153934769357,38.20880601755574286159616915,-76.1997387135057977529958304,-480.5849849817423465358389295,-879.6952363969561427251548459,,SIGN_CHANGE,True
