configuration,regime,period,candle_count,signal_count,entry_count,long_entries,short_entries,net_pnl,mean_trade_pnl,median_trade_pnl,win_rate_percent,expectancy,maximum_drawdown_percent,exposure_percent,fees,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_BASELINE_1X,TRENDING_UP,ALL,440,33,32,32,0,121.0092516035996365225074275,3.781539112612488641328357109,-67.4771738015030128322828572,37.500,3.781539112612488641328357109,4.986563797121029862119298570,70.22727272727272727272727273,76.47615913528383817785714286,-25.492334375513921013921147,10.62760863165888830628589999,31.55678820757387214492589830,51.70964854569932805859536692,-68.5046980237993140017782870,-441.7186186114657952983544535,-801.0890368624960319439440116,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,TRENDING_DOWN,ALL,687,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,RANGING,ALL,33787,0,1,1,0,-64.59068567828734681714285755,-64.59068567828734681714285755,-64.59068567828734681714285755,0,-64.59068567828734681714285755,0.6459068567828734681714285800,2.323378814336875129487672774,2.390224901108978245714285714,0,0,0,0,-64.59068567828734681714285755,-64.59068567828734681714285755,-64.59068567828734681714285755,
FUTURES_LONG_BASELINE_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH_VOLATILITY,ALL,50,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,TRENDING_UP,2022,151,13,13,13,0,-314.6994471590809505808094876,-24.20764978146776542929303751,-81.28082207638347343843142894,23.07692307692307692307692308,-24.20764978146776542929303751,4.986563797121029862119298570,69.53642384105960264900662252,29.76914664635815773785714285,-7.165078175216688557238062,33.93497503588125116879388006,100,100,-502.8093531907997822681555837,-869.0240218281951572657204103,-869.0240218281951572657204103,
FUTURES_LONG_BASELINE_1X,TRENDING_DOWN,2022,395,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,RANGING,2022,8083,0,0,0,0,0,,,,,0,4.812569590498577260917975999,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,UNKNOWN,2022,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH_VOLATILITY,2022,31,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,TRENDING_UP,2023,45,4,3,3,0,-26.23053476602169879300428584,-8.74351158867389959766809528,-65.10513806115855576428571469,33.33333333333333333333333333,-8.74351158867389959766809528,1.333836182988200387381856671,28.88888888888888888888888889,7.244554225595257763571428571,-0.980595516512288172290000,100,100,100,-134.8321864239563762828571436,-134.8321864239563762828571436,-134.8321864239563762828571436,
FUTURES_LONG_BASELINE_1X,TRENDING_DOWN,2023,12,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,RANGING,2023,8703,0,1,1,0,-64.59068567828734681714285755,-64.59068567828734681714285755,-64.59068567828734681714285755,0,-64.59068567828734681714285755,0.6459068567828734681714285800,0.1723543605653223026542571527,2.390224901108978245714285714,0,0,0,0,-64.59068567828734681714285755,-64.59068567828734681714285755,-64.59068567828734681714285755,
FUTURES_LONG_BASELINE_1X,UNKNOWN,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH_VOLATILITY,2023,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,TRENDING_UP,2024,80,4,4,4,0,142.8261338495189848789677735,35.70653346237974621974194338,32.61358277927515020157077162,50.0,35.70653346237974621974194338,1.006607958786138267814285720,78.7500,9.510672876483482650714285715,-5.747765208646233898889369,58.88709987890057320852018007,100,100,-35.4336303200635263782870284,-159.8883223491526809507155386,-159.8883223491526809507155386,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,TRENDING_DOWN,2024,121,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,RANGING,2024,8577,0,0,0,0,0,,,,,0,1.154249737670514165792235047,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,UNKNOWN,2024,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH_VOLATILITY,2024,6,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,TRENDING_UP,2025,164,12,12,12,0,319.1130996791833010173534274,26.59275830659860841811278562,11.67998296013501505433737882,50.0,26.59275830659860841811278562,1.702177039578931974717501583,78.04878048780487804878048780,29.95178538684694002571428571,-11.598895475138710385503716,23.17980359972495537229489949,61.50056164472437057983957877,89.16472686103647427091159081,129.5991500517843504930677129,-183.7045489454726736626283283,-409.8818412047747783613067873,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,TRENDING_DOWN,2025,159,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,
