configuration,volatility_bucket,period,candles,trades,long_trades,short_trades,net_return_percent,maximum_drawdown_percent,win_rate_percent,expectancy,costs,funding,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_BASELINE_1X,LOW,ALL,7564,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,MEDIUM,ALL,8567,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH,ALL,9343,4,4,0,-0.9455658696879832851073506666,1.179165528890683586194098240,25.00,-23.63914674219958212768376666,9.986019050269073989285714286,-4.362092161983933092877924,100,100,100,-183.1438521292765637654041098,-183.1438521292765637654041098,-183.1438521292765637654041098,
FUTURES_LONG_BASELINE_1X,EXTREME,ALL,9490,29,29,0,1.509751528941106182160996367,5.554971474129961059066167405,37.93103448275862068965517241,5.206039754969331662624125403,68.88036498612374243428571429,-21.130242213529987921043223,11.18316805155369384850179055,33.20642281098948750126921267,54.41277615838116681036494917,-38.5387967332883323081860778,-411.7527173209548136047622443,-771.1231355719850502503518024,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,LOW,2022,791,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,MEDIUM,2022,1438,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH,2022,2269,1,1,0,-0.5868902641852950445012285737,0.5868902641852950445012285700,0,-58.68902641852950445012285737,2.472195636773360170714285714,-0.608113882959605707980000,0,0,0,-58.68902641852950445012285737,-58.68902641852950445012285737,-58.68902641852950445012285737,
FUTURES_LONG_BASELINE_1X,EXTREME,2022,4162,12,12,0,-2.560104207405514461306866302,4.3996735329357348176180700,25.00,-21.33420172837928717755721918,27.29695100958479756714285714,-6.556964292257082849258062,33.93497503588125116879388006,100,100,-444.1203267722702778180327263,-810.3349954096656528155975529,-810.3349954096656528155975529,
FUTURES_LONG_BASELINE_1X,UNKNOWN,2022,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,LOW,2023,4131,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,MEDIUM,2023,2478,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH,2023,1574,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,EXTREME,2023,577,4,4,0,-0.9082122044430904561014714339,1.342413771556505420473931029,25.00,-22.70530511107726140253678585,9.634779126704236009285714285,-0.980595516512288172290000,100,100,100,-199.4228721022437231000000012,-199.4228721022437231000000012,-199.4228721022437231000000012,
FUTURES_LONG_BASELINE_1X,UNKNOWN,2023,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,LOW,2024,1639,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,MEDIUM,2024,2604,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH,2024,2707,1,1,0,-0.5922752647053885416928696697,0.5922752647053885416928696700,0,-59.22752647053885416928696697,2.421182302961850889285714286,-0.904513202480561851429824,0,0,0,-59.22752647053885416928696697,-59.22752647053885416928696697,-59.22752647053885416928696697,
FUTURES_LONG_BASELINE_1X,EXTREME,2024,1834,3,3,0,2.020536603200578390482547405,1.006607958786138267814285720,66.66666666666666666666666667,67.35122010668594634941824683,7.089490573521631761428571429,-4.843252006165672047459545,58.88709987890057320852018007,100,100,23.7938961504753277909999386,-100.6607958786138267814285716,-100.6607958786138267814285716,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,UNKNOWN,2024,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,LOW,2025,1003,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,MEDIUM,2025,2047,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,HIGH,2025,2793,2,2,0,0.2335996592027003010867475764,0.6465454233167168868270258577,50.0,11.67998296013501505433737882,5.092641110533862929285714286,-2.849465076543765533468100,100,100,100,-65.22729924020820514599428548,-65.22729924020820514599428548,-65.22729924020820514599428548,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,EXTREME,2025,2917,10,10,0,2.957531337589132709086786698,1.702177039578931974717501583,50.0,29.57531337589132709086786698,24.85914427631307709642857143,-8.749430398594944852035616,25.99660697200447548112420060,68.97409301838966217869412543,100,106.2391841315143203843929553,-207.0645148657427037713030859,-433.2418071250448084699815449,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,UNKNOWN,2025,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,LOW,ALL,7564,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,MEDIUM,ALL,8567,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH,ALL,9343,5,0,5,-3.007921582855223996371884441,3.007921582855223996371884440,0,-60.15843165710447992743768882,12.42560598000715042357142857,2.511580142952757929240128,0,0,0,-300.7921582855223996371884441,-300.7921582855223996371884441,-300.7921582855223996371884441,
FUTURES_SHORT_MIRRORED_1X,EXTREME,ALL,9490,76,0,76,0.4770080587130007396382980270,10.95216191084119355565643578,36.84210526315789473684210526,0.6276421825171062363661816145,167.9733497847272709528571431,6.551228237018870630972662,4.327338875007673250467057294,12.84540105471203888582616311,21.25234955118904081345220955,-157.7346511303563080900783928,-562.1198973985928568729214919,-961.2301488138066530622374083,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,LOW,2022,791,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,MEDIUM,2022,1438,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH,2022,2269,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,EXTREME,2022,4162,39,0,39,2.752777871850451747209249300,5.498775324790709518995095377,38.46153846153846153846153846,7.058404799616542941562177692,86.94905505665867682785714288,-3.491007345244612736932213,7.779961046149148863974386836,23.09426710373951153934769357,38.20880601755574286159616915,69.8423301833887926670167345,-334.5429160848477561158263646,-733.6531675000615523051422810,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2022,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,LOW,2023,4131,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,MEDIUM,2023,2478,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH,2023,1574,1,0,1,-0.5404198403974956929714285780,0.5404198403974956929714285800,0,-54.04198403974956929714285780,2.571288685865091342857142858,-0.532158291949552240000000,0,0,0,-54.04198403974956929714285780,-54.04198403974956929714285780,-54.04198403974956929714285780,
FUTURES_SHORT_MIRRORED_1X,EXTREME,2023,577,1,0,1,-0.9200008485714502112286970706,0.9200008485714502112286970700,0,-92.00008485714502112286970706,2.613542410032003955714285714,0.059409718913294261416008,0,0,0,-92.00008485714502112286970706,-92.00008485714502112286970706,-92.00008485714502112286970706,
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2023,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,LOW,2024,1639,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,MEDIUM,2024,2604,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH,2024,2707,3,0,3,-1.862942230653087347829027290,1.862942230653087347829027290,0,-62.09807435510291159430090967,7.373488594673549237857142856,3.043738434902310169240128,0,0,0,-186.2942230653087347829027290,-186.2942230653087347829027290,-186.2942230653087347829027290,
FUTURES_SHORT_MIRRORED_1X,EXTREME,2024,1834,16,0,16,-5.305991987282159706054691837,5.921324206739328009067337700,25.00,-33.16244992051349816284182398,35.47803076187347580071428572,3.043779941605886623816530,30.69533335998573724381179385,78.59242455814699284915521022,100,-714.2921857719474127083263268,-1000.927279442757672541897756,-1129.038658203813586541887756,
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2024,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,LOW,2025,1003,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,MEDIUM,2025,2047,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_SHORT_MIRRORED_1X,HIGH,2025,2793,1,0,1,-0.6045595118046409555714285727,0.6045595118046409555714285700,0,-60.45595118046409555714285727,2.480828699468509842857142857,0,0,0,0,-60.45595118046409555714285727,-60.45595118046409555714285727,-60.45595118046409555714285727,
FUTURES_SHORT_MIRRORED_1X,EXTREME,2025,2917,20,0,20,3.950223022716158909712437635,5.747144624356417734707728434,45.00,19.75111511358079454856218818,42.93272155616311436857142857,6.939045921744302482672337,12.78157886256018286175886514,37.58919601581595219492006110,61.92316874918598226698260677,202.2282622629098623598151923,-171.9634385742319090496531617,-539.0108091045104186230468617,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,UNKNOWN,2025,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,LOW,ALL,7564,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,MEDIUM,ALL,8567,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH,ALL,9343,9,4,5,-3.881118458582681466929377290,3.881118458582681466929377290,11.11111111111111111111111111,-43.12353842869646074365974767,21.87762046914232988428571429,-1.851517859971451094366300,100,100,100,-473.2441111060061149409426155,-473.2441111060061149409426155,-473.2441111060061149409426155,
FUTURES_LONG_SHORT_BASELINE_1X,EXTREME,ALL,9490,105,29,76,1.900111558427282338286680288,13.98831424188017872695965513,37.14285714285714285714285714,1.809630055645030798368266941,233.5958306371684469571428572,-14.383811182510282071331972,3.234543163684779976884120464,9.489720097340873161173906857,15.71805768618627568322446226,-15.4243011589281482252401667,-412.7091933252616873309644962,-808.2894388729586635027699238,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,LOW,2022,791,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,MEDIUM,2022,1438,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH,2022,2269,1,1,0,-0.6187705315220947471820857167,0.6187705315220947471820857200,0,-61.87705315220947471820857167,2.606486938944835592142857142,-0.641147031306143411780000,0,0,0,-61.87705315220947471820857167,-61.87705315220947471820857167,-61.87705315220947471820857167,
FUTURES_LONG_SHORT_BASELINE_1X,EXTREME,2022,4162,51,12,39,0.1379241514035550029982697542,6.981553597917987418814068524,35.29411764705882352941176471,0.2704395125559902019573916749,113.8854225725857896771428571,-10.126772616222575737315885,6.458020568831280424905095434,18.94697472865488257513659559,31.38234201946173629434450931,-191.6430418613008817540812201,-588.9279340276344208598055496,-984.5081795753313970316109772,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2022,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,LOW,2023,4131,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,MEDIUM,2023,2478,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH,2023,1574,1,0,1,-0.5222728854418780850428571492,0.5222728854418780850428571500,0,-52.22728854418780850428571492,2.484946445125072735714285714,-0.514288754542924340000000,0,0,0,-52.22728854418780850428571492,-52.22728854418780850428571492,-52.22728854418780850428571492,
FUTURES_LONG_SHORT_BASELINE_1X,EXTREME,2023,577,5,4,1,-1.812137993497977392622948665,1.812137993497977392622948660,20.0,-36.2427598699595478524589733,12.33489169843016665142857143,-0.941411278153318325152008,100,100,100,-291.8058769600986374403948671,-291.8058769600986374403948671,-291.8058769600986374403948671,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2023,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,LOW,2024,1639,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,MEDIUM,2024,2604,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH,2024,2707,4,1,3,-2.351961096278095975026326148,2.351961096278095975026326150,0,-58.7990274069523993756581537,9.378329275508930120714285713,2.042250746436065475224528,0,0,0,-235.1961096278095975026326148,-235.1961096278095975026326148,-235.1961096278095975026326148,
FUTURES_LONG_SHORT_BASELINE_1X,EXTREME,2024,1834,19,3,16,-3.181929575520599397090500864,5.746005026960695954439309740,31.57894736842105263157894737,-16.74699776589789156363421507,40.90884219382371289214285715,-1.766642026931616816907230,20.53265891654600730676472841,57.51662789390606454216990150,86.38275662935504083845087797,-495.8622534291805138804786582,-815.8848941235006968099324010,-1065.663784815182775408879544,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2024,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,LOW,2025,1003,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,MEDIUM,2025,2047,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_BASELINE_1X,HIGH,2025,2793,3,2,1,-0.3881139453406126596781082767,1.228974063224688891487611250,33.33333333333333333333333333,-12.93713151135375532260360922,7.407857809563491435714285716,-2.738332820558448817810828,100,100,100,-123.9436597817992342158157142,-123.9436597817992342158157142,-123.9436597817992342158157142,
FUTURES_LONG_SHORT_BASELINE_1X,EXTREME,2025,2917,30,10,20,6.756254976042304125001860062,5.536779615383505484767593588,46.66666666666666666666666667,22.52084992014101375000620021,66.46667417232877773642857144,-1.548985261202771191956849,8.701660645852913272684002320,25.64408798284506165861374639,42.10001038111360878968721318,484.6837198300826357141132385,112.9136259140019245866846670,-248.1810209033621459278673507,
FUTURES_LONG_SHORT_BASELINE_1X,UNKNOWN,2025,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,LOW,ALL,7564,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,MEDIUM,ALL,8567,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH,ALL,9343,15,9,6,-1.457045621691230259737927370,3.246513985270823847658784103,40.0,-9.7136374779415350649195158,35.61708232795836955714285713,-2.478179372418413559507024,40.31812335182094595385194998,91.54461999505473050004955527,99.58826266268388503152256754,-239.4586497519697311906355947,-358.5786150078732395873927380,-377.2829672061500190048692820,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,EXTREME,ALL,9490,129,45,84,0.4153227518370178795151093200,14.54759790419625607375517602,41.08527131782945736434108527,0.3219556215790836275310924961,281.8278308036358948599999998,-11.925599563909177188489066,4.133399920504245880393036377,12.06306286004830440391449587,19.79965656917610495177624252,-150.3185801309496724256319254,-518.3721550492052142743904081,-877.4644637694922004282475505,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,UNKNOWN,ALL,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,LOW,2022,791,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,MEDIUM,2022,1438,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,HIGH,2022,2269,2,1,1,0.8825579353573249021021714328,0.029821651777194514826400,50.0,44.12789676786624510510857164,4.862876519295469272857142857,-0.361950498982654802640000,100,100,100,-2.98216517771945148264000000,-2.98216517771945148264000000,-2.98216517771945148264000000,RESULT_DEPENDS_ON_FEW_TRADES
