configuration,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_BASELINE_1X,2022,2022-01-05T04:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-3.146994471590809505808094876,-2.777652223375061042857142827,-314.6994471590809505808094876,-277.7652223375061042857142827,13,13,0,23.07692307692307692307692308,0.6378702553042928490903554412,-24.20764978146776542929303751,-81.28082207638347343843142894,4.986563797121029862119298570,5.704387990762124711316397229,0,29.76914664635815773785714285,7.471426254731267953785384,0.306348079514579396547322,-7.165078175216688557238062,0,False,False,13,10,3,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 8083, ""TRENDING_DOWN"": 395, ""TRENDING_UP"": 151}",33.93497503588125116879388006,100,100,-502.8093531907997822681555837,-869.0240218281951572657204103,-869.0240218281951572657204103,
FUTURES_LONG_BASELINE_1X,2023,2023-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.9082122044430904561014714339,-0.8020584580109252142857142909,-90.82122044430904561014714339,-80.20584580109252142857142909,4,4,0,25.00,0.5445797190317007343636082382,-22.70530511107726140253678585,-64.8479118697229512907142861,1.342413771556505420473931029,0.3196347031963470319634703196,0,9.634779126704236009285714285,0.980595516512288172290000,0,-0.980595516512288172290000,0,False,False,4,3,1,0,0,"{""RANGING"": 8703, ""TRENDING_DOWN"": 12, ""TRENDING_UP"": 45}",100,100,100,-199.4228721022437231000000012,-199.4228721022437231000000012,-199.4228721022437231000000012,
FUTURES_LONG_BASELINE_1X,2024,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.428261338495189848789677735,1.580845719346487014285714283,142.8261338495189848789677735,158.0845719346487014285714283,4,4,0,50.0,1.893286837656758263140218764,35.70653346237974621974194338,32.61358277927515020157077162,1.006607958786138267814285720,1.844262295081967213114754098,0,9.510672876483482650714285715,5.747765208646233898889369,0,-5.747765208646233898889369,0,True,False,4,2,2,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",58.88709987890057320852018007,100,100,-35.4336303200635263782870284,-159.8883223491526809507155386,-159.8883223491526809507155386,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,2025,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,3.191130996791833010173534274,3.606637805411689514285714291,319.1130996791833010173534274,360.6637805411689514285714291,12,12,0,50.0,1.640186313663646229413471970,26.59275830659860841811278562,11.67998296013501505433737882,1.702177039578931974717501583,4.680365296803652968036529680,0,29.95178538684694002571428571,11.598895475138710385503716,0,-11.598895475138710385503716,0,True,False,12,6,6,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",23.17980359972495537229489949,61.50056164472437057983957877,89.16472686103647427091159081,129.5991500517843504930677129,-183.7045489454726736626283283,-409.8818412047747783613067873,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,2022,2022-01-05T04:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,2.752777871850451747209249300,3.657178495869484642857142862,275.2777871850451747209249300,365.7178495869484642857142862,39,0,39,38.46153846153846153846153846,1.116382059203954674078426191,7.058404799616542941562177692,-78.26908035158154773571428543,5.498775324790709518995095377,0,10.30023094688221709006928406,86.94905505665867682785714288,9.363981828403458170199510,5.872974483158845433267297,-3.491007345244612736932213,0,True,False,40,24,15,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 8083, ""TRENDING_DOWN"": 395, ""TRENDING_UP"": 151}",7.779961046149148863974386836,23.09426710373951153934769357,38.20880601755574286159616915,69.8423301833887926670167345,-334.5429160848477561158263646,-733.6531675000615523051422810,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_SHORT_MIRRORED_1X,2023,2023-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.460420688968945904200125649,-1.403844892279612371428571443,-146.0420688968945904200125649,-140.3844892279612371428571443,2,0,2,0,0E+25,-73.02103444844729521000628245,-73.02103444844729521000628245,1.460420688968945904200125650,0,0.4452054794520547945205479452,5.184831095897095298571428572,0.532158291949552240000000,0.059409718913294261416008,-0.472748573036257978583992,0,False,False,2,2,0,0,0,"{""RANGING"": 8703, ""TRENDING_DOWN"": 12, ""TRENDING_UP"": 45}",0,0,0,-146.0420688968945904200125649,-146.0420688968945904200125649,-146.0420688968945904200125649,
FUTURES_SHORT_MIRRORED_1X,2024,2024-01-01T00:00:00+00:00,2024-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-7.168934217935247053883719127,-6.801294208134858771428571420,-716.8934217935247053883719127,-680.1294208134858771428571420,19,0,19,21.05263157894736842105263158,0.4549718690968803739557601909,-37.73123272597498449412483751,-85.04702201795007629571428543,7.465690845266350634819261980,0,3.187613843351548269581056466,42.85151935654702503857142858,0.119711905213007120146844,6.207230281721203913203502,6.087518376508196793056658,0,False,False,19,15,4,0,0,"{""HIGH_VOLATILITY"": 6, ""RANGING"": 8577, ""TRENDING_DOWN"": 121, ""TRENDING_UP"": 80}",30.69533335998573724381179385,78.59242455814699284915521022,100,-900.5864088372561474912290558,-1187.221502508066407324800485,-1315.332881269122321324790485,
FUTURES_SHORT_MIRRORED_1X,2025,2025-01-01T00:00:00+00:00,2025-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,3.345663510911517954141009062,3.730408554250391171428571408,334.5663510911517954141009062,373.0408554250391171428571408,21,0,21,42.85714285714285714285714286,1.285026503046796752495982571,15.93173100434056168638575744,-91.99359212880502257828571452,5.747144624356417734707728434,0,5.936073059360730593607305936,45.41355025563162421142857143,0.668899205497963865995028,7.607945127242266348667365,6.939045921744302482672337,0,True,False,21,12,9,0,0,"{""HIGH_VOLATILITY"": 13, ""RANGING"": 8424, ""TRENDING_DOWN"": 159, ""TRENDING_UP"": 164}",12.78157886256018286175886514,37.58919601581595219492006110,61.92316874918598226698260677,141.7723110824457668026723350,-232.4193897546960046067960190,-599.4667602849745141801897190,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_SHORT_BASELINE_1X,2022,2022-01-05T04:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.4808463801185397441838159658,0.7917519114720537000000000318,-48.08463801185397441838159658,79.17519114720537000000000318,52,13,39,34.61538461538461538461538462,0.9851093108971562499677787660,-0.9247045771510379695842614727,-81.34151915938893251225967435,7.556425301690830449015809934,5.704387990762124711316397229,10.30023094688221709006928406,116.4919095115306252692857142,16.884302744517572352168915,6.116383096988853203073030,-10.767919647528719149095885,0,False,False,53,34,18,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 8083, ""TRENDING_DOWN"": 395, ""TRENDING_UP"": 151}",6.458020568831280424905095434,18.94697472865488257513659559,31.38234201946173629434450931,-253.5200950135103564722897921,-650.8049871798438955780141216,-1046.385232727540871749819549,
FUTURES_LONG_SHORT_BASELINE_1X,2023,2023-01-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-2.334410878939855477665805814,-2.171655497177340657142857162,-233.4410878939855477665805814,-217.1655497177340657142857162,6,4,2,16.66666666666666666666666667,0.3214576055427510448216788134,-38.90684798233092462776343023,-66.3335468683084544485714290,2.334410878939855477665805810,0.3196347031963470319634703196,0.4452054794520547945205479452,14.81983814355523938714285714,1.512856399611284711900000,0.057156366915042046747992,-1.455700032696242665152008,0,False,False,6,5,1,0,0,"{""RANGING"": 8703, ""TRENDING_DOWN"": 12, ""TRENDING_UP"": 45}",100,100,100,-344.0331655042864459446805820,-344.0331655042864459446805820,-344.0331655042864459446805820,
