configuration,held_out_year,result_without_year,result_without_year_percent,held_out_year_result,held_out_year_result_percent,remaining_trade_count,held_out_trade_count,consistency,direction_change,warning
FUTURES_LONG_BASELINE_1X,2022,371.1180130843932402861740575,3.711180130843932402861740575,-314.6994471590809505808094876,-3.146994471590809505808094876,20,13,False,False,
FUTURES_LONG_BASELINE_1X,2023,147.2397863696213353155117133,1.472397863696213353155117133,-90.82122044430904561014714339,-0.9082122044430904561014714339,29,4,False,False,
FUTURES_LONG_BASELINE_1X,2024,-86.40756792420669517360320352,-0.8640756792420669517360320352,142.8261338495189848789677735,1.428261338495189848789677735,29,4,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_BASELINE_1X,2025,-262.6945337538710113119888575,-2.626945337538710113119888575,319.1130996791833010173534274,3.191130996791833010173534274,21,12,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_SHORT_MIRRORED_1X,2022,-528.3691395992675003942835714,-5.283691395992675003942835714,275.2777871850451747209249300,2.752777871850451747209249300,42,39,False,False,
FUTURES_SHORT_MIRRORED_1X,2023,-107.0492835173277352533460765,-1.070492835173277352533460765,-146.0420688968945904200125649,-1.460420688968945904200125649,79,2,True,False,
FUTURES_SHORT_MIRRORED_1X,2024,463.8020693793023797150132713,4.638020693793023797150132713,-716.8934217935247053883719127,-7.168934217935247053883719127,62,19,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_SHORT_MIRRORED_1X,2025,-587.6577035053741210874595476,-5.876577035053741210874595476,334.5663510911517954141009062,3.345663510911517954141009062,60,21,False,False,
FUTURES_LONG_SHORT_BASELINE_1X,2022,-150.0160520036859384458881041,-1.500160520036859384458881041,-48.08463801185397441838159658,-0.4808463801185397441838159658,62,52,True,False,
FUTURES_LONG_SHORT_BASELINE_1X,2023,35.34039787844563490231088075,0.3534039787844563490231088075,-233.4410878939855477665805814,-2.334410878939855477665805814,108,6,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_SHORT_BASELINE_1X,2024,355.2883771643296243474130006,3.552883771643296243474130006,-553.3890671798695372116827012,-5.533890671798695372116827012,91,23,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_SHORT_BASELINE_1X,2025,-834.9147930857090593966448792,-8.349147930857090593966448792,636.8141030701691465323751786,6.368141030701691465323751786,81,33,False,False,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2022,451.4104524957040631589075133,4.514104524957040631589075133,-555.5827394811253011811893178,-5.555827394811253011811893178,79,65,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2023,-13.29225910039301307783894690,-0.1329225910039301307783894690,-90.88002788502822494444285771,-0.9088002788502822494444285771,137,7,True,False,
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2024,350.7222489610651271083328235,3.507222489610651271083328235,-454.8945359464863651306146281,-4.548945359464863651306146281,114,30,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_SHORT_TIME_EXIT_12_1X,2025,-1101.357303312639891256246804,-11.01357303312639891256246804,997.185016327218653233964999,9.971850163272186532339649990,102,42,False,False,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2022,112.4579093109598059047738939,1.124579093109598059047738939,-351.7565037263877354883935520,-3.517565037263877354883935520,67,55,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2023,-12.98070699507737131497710368,-0.1298070699507737131497710368,-226.3178874203505582686425544,-2.263178874203505582686425544,116,6,True,False,
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2024,105.2869393739415764667134305,1.052869393739415764667134305,-344.5855337893695060503330887,-3.445855337893695060503330887,97,25,False,True,SINGLE_YEAR_DEPENDENCE
FUTURES_LONG_SHORT_TIME_EXIT_24_1X,2025,-922.6599249361077998073691955,-9.226599249361077998073691955,683.3613305206798702237495369,6.833613305206798702237495369,86,36,False,False,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2022,578.5402952224774134499812879,5.785402952224774134499812879,-343.1731077329327469886369956,-3.431731077329327469886369956,60,44,False,False,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2023,433.9916119115121480245392248,4.339916119115121480245392248,-198.6244244219674815631949324,-1.986244244219674815631949324,98,6,False,False,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2024,653.6486954648418043308215381,6.536486954648418043308215381,-418.2815079752971378694772457,-4.182815079752971378694772457,80,24,False,False,
FUTURES_LONG_SHORT_TARGET_R_2_5_1X,2025,-960.0790401301973664213091743,-9.600790401301973664213091743,1195.446227619742032882653467,11.95446227619742032882653467,74,30,False,True,SINGLE_YEAR_DEPENDENCE
