configuration,metric,bucket,post_event_diagnostic_only,trades,long_trades,short_trades,net_pnl,mean_trade_pnl,win_rate_percent
FUTURES_LONG_BASELINE_1X,directional_persistence,MIXED,True,22,22,0,-638.9990268156814001956593114,-29.04541030980370000889360506,22.72727272727272727272727273
FUTURES_LONG_BASELINE_1X,directional_persistence,UP,True,11,11,0,695.4175927409936899010238814,63.2197811582721536273658074,63.63636363636363636363636364
FUTURES_LONG_BASELINE_1X,long_ema_distance_percent,FAR_ABOVE,True,33,33,0,56.41856592531228970536456990,1.709653512888251203192865755,36.36363636363636363636363636
FUTURES_LONG_BASELINE_1X,long_ema_slope_percent,POSITIVE,True,33,33,0,56.41856592531228970536456990,1.709653512888251203192865755,36.36363636363636363636363636
FUTURES_LONG_BASELINE_1X,return_24h,POSITIVE,True,33,33,0,56.41856592531228970536456990,1.709653512888251203192865755,36.36363636363636363636363636
FUTURES_LONG_BASELINE_1X,return_30d,NEGATIVE,True,7,7,0,-587.6352536956813181641782690,-83.94789338509733116631118129,0
FUTURES_LONG_BASELINE_1X,return_30d,POSITIVE,True,26,26,0,644.0538196209936078695428390,24.77130075465360030267472458,46.15384615384615384615384615
FUTURES_LONG_BASELINE_1X,return_7d,NEGATIVE,True,2,2,0,80.1944203670231748546446370,40.0972101835115874273223185,50.0
FUTURES_LONG_BASELINE_1X,return_7d,POSITIVE,True,31,31,0,-23.77585444171088514928006698,-0.7669630465068027467509699026,35.48387096774193548387096774
FUTURES_SHORT_MIRRORED_1X,directional_persistence,DOWN,True,21,0,21,216.9944947543640332690357982,10.33307117877923967947789515,38.09523809523809523809523810
FUTURES_SHORT_MIRRORED_1X,directional_persistence,MIXED,True,60,0,60,-470.0858471685863589423944395,-7.834764119476439315706573992,33.33333333333333333333333333
FUTURES_SHORT_MIRRORED_1X,long_ema_distance_percent,BELOW,True,1,0,1,-109.3815193304725294330718656,-109.3815193304725294330718656,0
FUTURES_SHORT_MIRRORED_1X,long_ema_distance_percent,FAR_BELOW,True,80,0,80,-143.7098330837497962402867758,-1.796372913546872453003584698,35.00
FUTURES_SHORT_MIRRORED_1X,long_ema_slope_percent,NEGATIVE,True,81,0,81,-253.0913524142223256733586414,-3.124584597706448465103193104,34.56790123456790123456790123
FUTURES_SHORT_MIRRORED_1X,return_24h,NEGATIVE,True,80,0,80,-156.4909253071509969662157845,-1.956136566339387462077697306,35.00
FUTURES_SHORT_MIRRORED_1X,return_24h,POSITIVE,True,1,0,1,-96.60042710707132870714285686,-96.60042710707132870714285686,0
