configuration,period,start,end,attribution_policy,net_return_percent,gross_return_percent,net_pnl,gross_pnl,trades,long_trades,short_trades,win_rate_percent,profit_factor,expectancy,median_trade_pnl,maximum_drawdown_percent,exposure_long_percent,exposure_short_percent,trading_fees,funding_paid,funding_received,net_funding,liquidations,positive,zero_trade,signal_count,stop_count,target_count,time_exit_count,forced_end_count,regime_distribution,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_BASELINE_1X,2022-Q1,2022-01-05T04:00:00+00:00,2022-03-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.399698484949129778885542863,-1.332008023137168528571428577,-139.9698484949129778885542863,-133.2008023137168528571428577,2,2,0,0,0E+25,-69.98492424745648894427714315,-69.98492424745648894427714315,1.399698484949129778885542860,3.446601941747572815533980583,0,4.918727317097308813571428571,1.850318864098816217840000,0,-1.850318864098816217840000,0,False,False,2,2,0,0,0,"{""RANGING"": 1939, ""TRENDING_DOWN"": 101, ""TRENDING_UP"": 20}",0,0,0,-139.9698484949129778885542863,-139.9698484949129778885542863,-139.9698484949129778885542863,
FUTURES_LONG_BASELINE_1X,2022-Q2,2022-04-01T00:00:00+00:00,2022-06-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,-2.764156186924468811534427150,-2.695097576015698642857142851,-276.4156186924468811534427150,-269.5097576015698642857142851,3,3,0,0,0E+25,-92.1385395641489603844809050,-97.73131817592134033488124886,2.764156186924468811534427150,5.998168498168498168498168498,0,6.442101913390004327857142858,0.770107257001591936418609,0.306348079514579396547322,-0.463759177487012539871287,0,False,False,3,3,0,0,0,"{""HIGH_VOLATILITY"": 31, ""RANGING"": 1974, ""TRENDING_DOWN"": 157, ""TRENDING_UP"": 22}",0,0,0,-276.4156186924468811534427150,-276.4156186924468811534427150,-276.4156186924468811534427150,
FUTURES_LONG_BASELINE_1X,2022-Q3,2022-07-01T00:00:00+00:00,2022-09-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.867199287995569762109375137,2.069306125818916928571428601,186.7199287995569762109375137,206.9306125818916928571428601,7,7,0,42.85714285714285714285714286,1.507936803567530698761852868,26.67427554279385374441964481,-74.67495444013132673463983688,2.724716111571052425342765469,11.09601449275362318840579710,0,16.00672643856848817642857142,4.203957343766228469776775,0,-4.203957343766228469776775,0,True,False,7,4,3,0,0,"{""RANGING"": 2012, ""TRENDING_DOWN"": 105, ""TRENDING_UP"": 91}",33.93497503588125116879388006,100,100,-1.3899772321618554764085824,-367.6046458695572304739734090,-367.6046458695572304739734090,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,2022-Q4,2022-10-01T00:00:00+00:00,2022-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.850339087712780677497500,-0.819852750041110800,-85.033908771278067749750000,-81.985275004111080,1,1,0,0,0E+24,-85.033908771278067749750000,-85.033908771278067749750000,0.850339087712780677497500,2.128623188405797101449275362,0,2.40159097730235642,0.647042789864631329750000,0,-0.647042789864631329750000,0,False,False,1,1,0,0,0,"{""RANGING"": 2158, ""TRENDING_DOWN"": 32, ""TRENDING_UP"": 18}",0,0,0,-85.033908771278067749750000,-85.033908771278067749750000,-85.033908771278067749750000,
FUTURES_LONG_BASELINE_1X,2023-Q1,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.2109417208151122509157571444,-0.1286117669483768714285714300,-21.09417208151122509157571444,-12.86117669483768714285714300,3,3,0,33.33333333333333333333333333,0.8373565819367581635773017048,-7.031390693837075030525238147,-64.59068567828734681714285755,0.6481985959760299357792323310,1.2500,0,7.252399870161249776428571428,0.980595516512288172290000,0,-0.980595516512288172290000,0,False,False,3,2,1,0,0,"{""RANGING"": 2128, ""TRENDING_DOWN"": 7, ""TRENDING_UP"": 25}",100,100,100,-129.6958237394459025814285722,-129.6958237394459025814285722,-129.6958237394459025814285722,
FUTURES_LONG_BASELINE_1X,2023-Q2,2023-04-01T00:00:00+00:00,2023-06-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""RANGING"": 2178, ""TRENDING_UP"": 6}",0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,2023-Q3,2023-07-01T00:00:00+00:00,2023-09-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,False,True,0,0,0,0,0,"{""RANGING"": 2203, ""TRENDING_DOWN"": 5}",0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,2023-Q4,2023-10-01T00:00:00+00:00,2023-12-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-0.6972704836279782051857142895,-0.6734466910625483428571428609,-69.72704836279782051857142895,-67.34466910625483428571428609,1,1,0,0,0E+26,-69.72704836279782051857142895,-69.72704836279782051857142895,0.6972704836279782051857142900,0.04528985507246376811594202899,0,2.382379256542986232857142857,0,0,0,0,False,False,1,1,0,0,0,"{""RANGING"": 2194, ""TRENDING_UP"": 14}",0,0,0,-69.72704836279782051857142895,-69.72704836279782051857142895,-69.72704836279782051857142895,
FUTURES_LONG_BASELINE_1X,2024-Q1,2024-01-01T00:00:00+00:00,2024-03-31T23:59:59.999999+00:00,TRADE_EXIT_TIME,-1.006607958786138267814285716,-0.9741154444062494571428571441,-100.6607958786138267814285716,-97.41154444062494571428571441,1,1,0,0,0E+25,-100.6607958786138267814285716,-100.6607958786138267814285716,1.006607958786138267814285720,2.106227106227106227106227106,0,2.142598597262476067142857143,1.106652840726405000000000,0,-1.106652840726405000000000,0,False,False,1,1,0,0,0,"{""RANGING"": 2149, ""TRENDING_DOWN"": 24, ""TRENDING_UP"": 11}",0,0,0,-100.6607958786138267814285716,-100.6607958786138267814285716,-100.6607958786138267814285716,
FUTURES_LONG_BASELINE_1X,2024-Q2,2024-04-01T00:00:00+00:00,2024-06-30T23:59:59.999999+00:00,TRADE_EXIT_TIME,1.782597641695825112572548019,1.831055414506106285714285712,178.2597641695825112572548019,183.1055414506106285714285712,1,1,0,100,,178.2597641695825112572548019,178.2597641695825112572548019,0,2.747252747252747252747252747,0,2.464726215998937764285714286,2.381051065029179549888055,0,-2.381051065029179549888055,0,True,False,1,0,1,0,0,"{""RANGING"": 2132, ""TRENDING_DOWN"": 25, ""TRENDING_UP"": 27}",100,100,100,0E-25,0E-25,0E-25,RESULT_DEPENDS_ON_FEW_TRADES
