configuration,dimension,period,side,trades,gross_pnl,fees,funding,net_pnl
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q1,LONG,2,-133.2008023137168528571428577,4.918727317097308813571428571,-1.850318864098816217840000,-139.9698484949129778885542863
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q2,LONG,3,-269.5097576015698642857142851,6.442101913390004327857142858,-0.463759177487012539871287,-276.4156186924468811534427150
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q3,LONG,7,206.9306125818916928571428601,16.00672643856848817642857142,-4.203957343766228469776775,186.7199287995569762109375137
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q4,LONG,1,-81.985275004111080,2.40159097730235642,-0.647042789864631329750000,-85.033908771278067749750000
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q1,LONG,3,-12.86117669483768714285714300,7.252399870161249776428571428,-0.980595516512288172290000,-21.09417208151122509157571444
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q4,LONG,1,-67.34466910625483428571428609,2.382379256542986232857142857,0,-69.72704836279782051857142895
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q1,LONG,1,-97.41154444062494571428571441,2.142598597262476067142857143,-1.106652840726405000000000,-100.6607958786138267814285716
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q2,LONG,1,183.1055414506106285714285712,2.464726215998937764285714286,-2.381051065029179549888055,178.2597641695825112572548019
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q4,LONG,2,72.39057492466301857142857152,4.903348063222068819285714286,-2.260061302890649349001314,65.22716555855030040314154323
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q2,LONG,6,250.5901956373419700000000004,14.72501313767002775500000000,-3.861955053764655206936932,232.0032274459072870380630684
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q3,LONG,5,183.7088597631771985714285717,12.73032824764241461928571428,-7.240610275227455858566784,163.7379212403073280935760734
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q4,LONG,1,-73.63527485935021714285714297,2.496444001534497651428571428,-0.496330146146599320000000,-76.62804900703131411428571440
FUTURES_LONG_BASELINE_1X,REGIME,RANGING,LONG,1,-62.20046077717836857142857184,2.390224901108978245714285714,0,-64.59068567828734681714285755
FUTURES_LONG_BASELINE_1X,REGIME,TRENDING_UP,LONG,32,222.9777451143973957142857174,76.47615913528383817785714286,-25.492334375513921013921147,121.0092516035996365225074275
FUTURES_LONG_BASELINE_1X,VOLATILITY,EXTREME,LONG,29,240.9857600937643485714285740,68.88036498612374243428571429,-21.130242213529987921043223,150.9751528941106182160996367
FUTURES_LONG_BASELINE_1X,VOLATILITY,HIGH,LONG,4,-80.20847575654532142857142838,9.986019050269073989285714286,-4.362092161983933092877924,-94.55658696879832851073506666
FUTURES_LONG_BASELINE_1X,YEAR,2022,LONG,13,-277.7652223375061042857142827,29.76914664635815773785714285,-7.165078175216688557238062,-314.6994471590809505808094876
FUTURES_LONG_BASELINE_1X,YEAR,2023,LONG,4,-80.20584580109252142857142909,9.634779126704236009285714285,-0.980595516512288172290000,-90.82122044430904561014714339
FUTURES_LONG_BASELINE_1X,YEAR,2024,LONG,4,158.0845719346487014285714283,9.510672876483482650714285715,-5.747765208646233898889369,142.8261338495189848789677735
FUTURES_LONG_BASELINE_1X,YEAR,2025,LONG,12,360.6637805411689514285714291,29.95178538684694002571428571,-11.598895475138710385503716,319.1130996791833010173534274
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q1,SHORT,10,446.0388676014184428571428572,22.37239802143851310857142858,2.185850509094999268983084,425.8523200890749290175545125
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q2,SHORT,17,232.8055720681373128571428560,35.62416891631554904357142858,-2.516335101499525888768550,194.6650680503222379248028772
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q3,SHORT,7,-140.7333895443756871428571401,18.24736279245034825357142857,-1.605830692503182353617953,-160.5865830293292177500465217
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q4,SHORT,5,-172.3932005382316042857142869,10.70512532645426642214285714,-1.554692060336903763528794,-184.6530179250227744713859380
FUTURES_SHORT_MIRRORED_1X,QUARTER,2023-Q1,SHORT,1,-89.44595216602631142857142935,2.613542410032003955714285714,0.059409718913294261416008,-92.00008485714502112286970706
FUTURES_SHORT_MIRRORED_1X,QUARTER,2023-Q3,SHORT,1,-50.93853706193492571428571494,2.571288685865091342857142858,-0.532158291949552240000000,-54.04198403974956929714285780
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q1,SHORT,3,-258.7856684860786771428571437,7.478664324720908578571428572,3.116560082703429522600000,-263.1477727280961561988285723
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q2,SHORT,6,-282.0189526577561999999999999,13.55664273360660207000000000,1.194023012015959361200636,-294.3815723793468427087993639
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q3,SHORT,6,-36.45831325867394714285714185,12.65992321835839792357142857,0.789319964710775265775894,-48.32891651232156980065267650
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q4,SHORT,4,-102.8664864109770528571428566,9.156289079861116466428571428,0.987615317078032643480128,-111.0351601737601366800913001
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q1,SHORT,10,323.9777538533638842857142847,20.93935709574189179785714286,3.495637549660560391466676,306.5340343072825528793238178
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q2,SHORT,4,-100.0937531519561971428571439,8.541406342406282128571428572,-0.252155313902870448418360,-108.8873148082653497198469325
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q4,SHORT,7,149.1568547236314300000000000,15.93278681748345028500000000,3.695563685986612539624021,136.9196315921345922546240209
FUTURES_SHORT_MIRRORED_1X,REGIME,HIGH_VOLATILITY,SHORT,1,193.9018516715909371428571426,1.107811662884908531428571428,0,192.7940400087060286114285712
FUTURES_SHORT_MIRRORED_1X,REGIME,RANGING,SHORT,7,-77.20157251049439142857142845,16.02777221299840039571428572,0.265154597953640006061972,-92.96419012553915181822374224
FUTURES_SHORT_MIRRORED_1X,REGIME,TRENDING_DOWN,SHORT,73,-198.4554841905560785714285734,163.2633718888511124492857145,8.797653782017988554150818,-352.9212022973892024665634704
FUTURES_SHORT_MIRRORED_1X,VOLATILITY,EXTREME,SHORT,76,209.1229274190084742857142842,167.9733497847272709528571431,6.551228237018870630972662,47.7008058713000739638298027
FUTURES_SHORT_MIRRORED_1X,VOLATILITY,HIGH,SHORT,5,-290.8781324484680071428571435,12.42560598000715042357142857,2.511580142952757929240128,-300.7921582855223996371884441
FUTURES_SHORT_MIRRORED_1X,YEAR,2022,SHORT,39,365.7178495869484642857142862,86.94905505665867682785714288,-3.491007345244612736932213,275.2777871850451747209249300
FUTURES_SHORT_MIRRORED_1X,YEAR,2023,SHORT,2,-140.3844892279612371428571443,5.184831095897095298571428572,-0.472748573036257978583992,-146.0420688968945904200125649
FUTURES_SHORT_MIRRORED_1X,YEAR,2024,SHORT,19,-680.1294208134858771428571420,42.85151935654702503857142858,6.087518376508196793056658,-716.8934217935247053883719127
FUTURES_SHORT_MIRRORED_1X,YEAR,2025,SHORT,21,373.0408554250391171428571408,45.41355025563162421142857143,6.939045921744302482672337,334.5663510911517954141009062
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q1,LONG,2,-138.4155978665073100000000006,5.122199885180467984999999999,-1.918478192828855328490000,-145.4562759445166333134900006
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q1,SHORT,10,445.4955642846030328571428571,22.29297554287995073357142857,2.175509646719163653409308,425.3780983884422457769807365
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q2,LONG,3,-281.4987983545967585714285708,6.704582558327302110714285715,-0.472845651781813630870219,-288.6762265647058743130130756
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q2,SHORT,17,224.3349342775890228571428561,34.84023063234752581857142858,-2.445822119534697425826401,187.0488815257067996127450264
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q3,LONG,7,219.6257651499373928571428600,16.85138582820410841642857142,-4.401694735880233868597869,198.3726845858530505721164196
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q3,SHORT,7,-137.6426506665553799999999975,17.80025189922033456000000000,-1.522020317549043527852280,-156.9649228833247580878522775
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q4,LONG,1,-85.756030060867200,2.5120475357693328,-0.676802278647187740000000,-88.944879875283720540000000
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q4,SHORT,5,-166.9679956163974300000000011,10.36823562960160284500000000,-1.505765998026051280868424,-178.8419972440250841258684251
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q1,LONG,3,-13.66913821135602857142857166,7.407310269891621775714285714,-0.998567645068360371900000,-22.07501612631601071904285737
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q1,SHORT,1,-86.05335548764368857142857218,2.514413326106231044285714286,0.057156366915042046747992,-88.51061244683487756896629447
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q3,SHORT,1,-49.22805334451981142857142921,2.484946445125072735714285714,-0.514288754542924340000000,-52.22728854418780850428571492
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2023-Q4,LONG,1,-68.21500267421453714285714324,2.413168102432313831428571428,0,-70.62817077664685097428571467
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q1,LONG,1,-98.67044970427740571428571441,2.170288627920312577142857143,-1.120954750158460000000000,-101.9616930823561782914285716
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q1,SHORT,3,-245.6864178087934571428571436,7.100108201841216108571428572,2.958805584792010897120000,-249.8277204258426623543085722
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q2,LONG,1,175.2632479292388571428571427,2.359163564631025428571428572,-2.279072166993642133403400,170.6250121976141895808823141
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q2,SHORT,6,-267.7436754938845771428571427,12.87043060477662581857142857,1.133583779810085582783313,-279.4805223188511173786452583
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q3,SHORT,6,-35.26276533743517285714285607,12.24477683994320269642857143,0.763436445066033623496652,-46.74410573231234193007477551
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q4,LONG,2,68.53732250181561000000000011,4.642349561661820365000000001,-2.139761332290934941475059,61.75521160786285469352494107
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2024-Q4,SHORT,4,-99.81476651670519714285714231,8.900054068558440018571428570,0.959571159279355629795792,-107.7552494259842815316327789
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q1,SHORT,10,315.4670371431226542857142846,20.38929163955585557285714286,3.403809069627772068140577,298.4815545731945707809977187
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2025-Q2,LONG,6,243.3529676799893528571428576,14.29974397923287232642857143,-3.750418957896532685664796,225.3028047428599478450494902
