configuration,period_type,period,side,trades,net_pnl,best_trade_concentration_percent,top_3_concentration_percent,top_5_concentration_percent,result_without_best_trade,result_without_top_3,result_without_top_5,warning
FUTURES_LONG_BASELINE_1X,YEAR,2022,ALL,13,-314.6994471590809505808094876,33.93497503588125116879388006,100,100,-502.8093531907997822681555837,-869.0240218281951572657204103,-869.0240218281951572657204103,
FUTURES_LONG_BASELINE_1X,YEAR,2022,LONG,13,-314.6994471590809505808094876,33.93497503588125116879388006,100,100,-502.8093531907997822681555837,-869.0240218281951572657204103,-869.0240218281951572657204103,
FUTURES_LONG_BASELINE_1X,YEAR,2022,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,YEAR,2023,ALL,4,-90.82122044430904561014714339,100,100,100,-199.4228721022437231000000012,-199.4228721022437231000000012,-199.4228721022437231000000012,
FUTURES_LONG_BASELINE_1X,YEAR,2023,LONG,4,-90.82122044430904561014714339,100,100,100,-199.4228721022437231000000012,-199.4228721022437231000000012,-199.4228721022437231000000012,
FUTURES_LONG_BASELINE_1X,YEAR,2023,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,YEAR,2024,ALL,4,142.8261338495189848789677735,58.88709987890057320852018007,100,100,-35.4336303200635263782870284,-159.8883223491526809507155386,-159.8883223491526809507155386,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,YEAR,2024,LONG,4,142.8261338495189848789677735,58.88709987890057320852018007,100,100,-35.4336303200635263782870284,-159.8883223491526809507155386,-159.8883223491526809507155386,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,YEAR,2024,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,YEAR,2025,ALL,12,319.1130996791833010173534274,23.17980359972495537229489949,61.50056164472437057983957877,89.16472686103647427091159081,129.5991500517843504930677129,-183.7045489454726736626283283,-409.8818412047747783613067873,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,YEAR,2025,LONG,12,319.1130996791833010173534274,23.17980359972495537229489949,61.50056164472437057983957877,89.16472686103647427091159081,129.5991500517843504930677129,-183.7045489454726736626283283,-409.8818412047747783613067873,RESULT_DEPENDS_ON_FEW_TRADES
FUTURES_LONG_BASELINE_1X,YEAR,2025,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q1,ALL,2,-139.9698484949129778885542863,0,0,0,-139.9698484949129778885542863,-139.9698484949129778885542863,-139.9698484949129778885542863,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q1,LONG,2,-139.9698484949129778885542863,0,0,0,-139.9698484949129778885542863,-139.9698484949129778885542863,-139.9698484949129778885542863,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q1,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q2,ALL,3,-276.4156186924468811534427150,0,0,0,-276.4156186924468811534427150,-276.4156186924468811534427150,-276.4156186924468811534427150,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q2,LONG,3,-276.4156186924468811534427150,0,0,0,-276.4156186924468811534427150,-276.4156186924468811534427150,-276.4156186924468811534427150,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q2,SHORT,0,0,0,0,0,0,0,0,
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q3,ALL,7,186.7199287995569762109375137,33.93497503588125116879388006,100,100,-1.3899772321618554764085824,-367.6046458695572304739734090,-367.6046458695572304739734090,RESULT_DEPENDS_ON_FEW_TRADES
