configuration,period_type,period,with_funding_net_pnl,without_funding_net_pnl,difference,pnl_explained_percent,long_effect,short_effect,warning,diagnostic_only
FUTURES_LONG_BASELINE_1X,YEAR,2022,-314.6994471590809505808094876,-307.6427131989853930414285686,-7.0567339600955575393809190,2.242372531569262656059759027,-7.165078175216688557238062,0,,True
FUTURES_LONG_BASELINE_1X,YEAR,2023,-90.82122044430904561014714339,-89.91801393353658027214285768,-0.90320651077246533800428571,0.9944884095961972065822182554,-0.980595516512288172290000,0,,True
FUTURES_LONG_BASELINE_1X,YEAR,2024,142.8261338495189848789677735,148.7346606117913478507142856,-5.9085267622723629717465121,4.136866694506736398707074256,-5.747765208646233898889369,0,,True
FUTURES_LONG_BASELINE_1X,YEAR,2025,319.1130996791833010173534274,331.1772821493847011514285720,-12.0641824702014001340751446,3.780535014805091916457190059,-11.598895475138710385503716,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q1,-139.9698484949129778885542863,-138.1244253397173288492857149,-1.8454231551956490392685714,1.318443346934621097238681728,-1.850318864098816217840000,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q2,-276.4156186924468811534427150,-276.0157259027239122771428566,-0.3998927897229688762998584,0.1446708372032727094846073541,-0.463759177487012539871287,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q3,186.7199287995569762109375137,190.9401469127204546850000029,-4.2202181131634784740624892,2.260186226663498833084239194,-4.203957343766228469776775,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2022-Q4,-85.033908771278067749750000,-84.4427088692646066,-0.591199902013461149750000,0.6952519419090269333516257250,-0.647042789864631329750000,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q1,-21.09417208151122509157571444,-20.13311732676274235785714302,-0.96105475474848273371857142,4.556020264909259298590060419,-0.980595516512288172290000,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q2,0,0,0,,0,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q3,0,0,0,,0,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2023-Q4,-69.72704836279782051857142895,-69.78489660677383791428571466,0.05784824397601739571428571,0.08296385023359422192735614095,0,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q1,-100.6607958786138267814285716,-99.63673670430892875214285726,-1.02405917430489802928571434,1.017336655612979718821324810,-1.106652840726405000000000,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q2,178.2597641695825112572548019,180.8117570462755338857142856,-2.5519928766930226284594837,1.431614637538314352640769924,-2.381051065029179549888055,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q3,0,0,0,,0,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2024-Q4,65.22716555855030040314154323,67.55964026982474271714285725,-2.33247471127444231400131402,3.575925293244158084126680803,-2.260061302890649349001314,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q1,0,0,0,,0,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q2,232.0032274459072870380630684,236.2147354665520922335714290,-4.2115080206448051955083606,1.815279928218558664894125368,-3.861955053764655206936932,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q3,163.7379212403073280935760734,171.2868206722738186607142860,-7.5488994319664905671382126,4.610354995827429408387697999,-7.240610275227455858566784,0,,True
FUTURES_LONG_BASELINE_1X,QUARTER,2025-Q4,-76.62804900703131411428571440,-76.32427398944120974285714297,-0.30377501759010437142857143,0.3964279679914991386015962601,-0.496330146146599320000000,0,,True
FUTURES_SHORT_MIRRORED_1X,YEAR,2022,275.2777871850451747209249300,278.6715098428036923707142862,-3.3937226577585176497893562,1.232835635763525951902873271,0,-3.491007345244612736932213,,True
FUTURES_SHORT_MIRRORED_1X,YEAR,2023,-146.0420688968945904200125649,-145.6170868851283976592857157,-0.4249820117661927607268492,0.2909997201328537834166436314,0,-0.472748573036257978583992,,True
FUTURES_SHORT_MIRRORED_1X,YEAR,2024,-716.8934217935247053883719127,-723.0085024428514266642857132,6.1150806493267212759138005,0.8529971769064369668550587775,0,6.087518376508196793056658,,True
FUTURES_SHORT_MIRRORED_1X,YEAR,2025,334.5663510911517954141009062,327.5353664737712415364285694,7.0309846173805538776723368,2.101521744326577264400666035,0,6.939045921744302482672337,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q1,425.8523200890749290175545125,423.6731261072817812421428574,2.1791939817931477754116551,0.5117252810404623003016590273,0,2.185850509094999268983084,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q2,194.6650680503222379248028772,197.1593620492951843478571417,-2.4942939989729464230542645,1.281325932769897133559472061,0,-2.516335101499525888768550,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q3,-160.5865830293292177500465217,-158.9832429059101564992857117,-1.6033401234190612507608100,0.9984271993172869014825179548,0,-1.605830692503182353617953,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2022-Q4,-184.6530179250227744713859380,-183.1777354078631167200000012,-1.4752825171596577513859368,0.7989485001315749792874044377,0,-1.554692060336903763528794,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2023-Q1,-92.00008485714502112286970706,-92.08990011737753933785714364,0.08981526023251821498743658,0.09762519281583344576611333478,0,0.059409718913294261416008,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2023-Q2,0,0,0,,0,0,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2023-Q3,-54.04198403974956929714285780,-53.52718676775085832142857208,-0.51479727199871097571428572,0.9525876615115786331710325952,0,-0.532158291949552240000000,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2023-Q4,0,0,0,,0,0,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q1,-263.1477727280961561988285723,-266.3095939391739981128571437,3.1618212110778419140285714,1.201538275737135221927247701,0,3.116560082703429522600000,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q2,-294.3815723793468427087993639,-295.5763567501423728899999999,1.1947843707955301812006360,0.4058624869548232629174564159,0,1.194023012015959361200636,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q3,-48.32891651232156980065267650,-49.12209989328918939857142737,0.79318338096761959791875087,1.641219042776172414255306297,0,0.789319964710775265775894,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2024-Q4,-111.0351601737601366800913001,-112.0004518602458662628571423,0.9652916864857295827658422,0.8693567739940520318394146240,0,0.987615317078032643480128,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q1,306.5340343072825528793238178,302.9063593143994091335714276,3.6276749928831437457523902,1.183449335758459504304306842,0,3.495637549660560391466676,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q2,-108.8873148082653497198469325,-108.5743231945937674157142867,-0.3129916136715823041326458,0.2874454331275546651931255621,0,-0.252155313902870448418360,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q3,0,0,0,,0,0,,True
FUTURES_SHORT_MIRRORED_1X,QUARTER,2025-Q4,136.9196315921345922546240209,133.2033303539655998185714285,3.7163012381689924360525924,2.714220886336709202680276913,0,3.695563685986612539624021,,True
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2022,-48.08463801185397441838159658,-37.54432848832276990499999672,-10.54030952353120451338159986,21.92032624002030471449905570,-7.469820859138090567958088,-3.298098788390628581137797,,True
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2023,-233.4410878939855477665805814,-232.2516960876786279364285734,-1.1893918063069198301520080,0.5095040539080539934810865110,-0.998567645068360371900000,-0.457132387627882293252008,,True
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2024,-553.3890671798695372116827012,-554.3045249878781500049999995,0.9154578080086127933172983,0.1654275196786746564421195668,-5.539788249443037074878459,5.815396968947485733195757,,True
FUTURES_LONG_SHORT_BASELINE_1X,YEAR,2025,636.8141030701691465323751786,641.8719992649326763771428558,-5.0578961947635298447676772,0.7942500284429491314949902562,-11.192405938236723653644730,6.905087856475503643877053,,True
FUTURES_LONG_SHORT_BASELINE_1X,QUARTER,2022-Q1,279.9218224439256124634907358,279.6967395484622413885714281,0.2250828954633710749193077,0.08040919907502389915442902772,-1.918478192828855328490000,2.175509646719163653409308,,True
