side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,250,100,TIGHT_DEEP,2429,99.91766158913133,-10.05499550150928,-10.052670963254164,0.0,-10.052702068536417,-10.052618833278055,-8.632003434447247,-12.200468157720278,10.053375416431658,2.8463972749718935e-05
LONG,250,100,TIGHT_THIN,2420,100.0,-10.055857449924037,-10.05266347015122,0.0,-10.052694288772082,-10.052616063297203,-8.422631837122214,-12.472817792467232,10.052356577926492,2.2328543722590294e-05
LONG,250,100,WIDE_DEEP,1167,100.0,-10.04596653949272,-10.052732097729804,0.0,-10.052778041799998,-10.052710962509032,-6.681547173155196,-12.117051969087681,10.05675058875405,5.533925485859827e-05
LONG,250,100,WIDE_THIN,1176,100.0,-10.05203588513121,-10.052735992908737,0.0,-10.052778599188915,-10.052710962509032,-8.081585807613633,-12.764590571506872,10.04669970540962,0.00010491735540026069
LONG,250,1000,TIGHT_DEEP,2429,99.91766158913133,-10.05511567588132,-10.052670963254164,0.0,-10.052702068536417,-10.052618833278055,-8.632255454372432,-12.200598771105346,10.053495653716173,0.0001487012572647613
LONG,250,1000,TIGHT_THIN,2420,100.0,-10.056058847323678,-10.05266347015122,0.0,-10.052694288772082,-10.052616063297203,-8.422770243768955,-12.472960484402298,10.052558075717789,0.00022382633501819634
LONG,250,1000,WIDE_DEEP,1167,100.0,-10.046447805681499,-10.052732097729804,0.0,-10.052778041799998,-10.052710962509032,-6.682012971328943,-12.117517458020926,10.057232078946187,0.0005368294469977648
LONG,250,1000,WIDE_THIN,1176,100.0,-10.052333700423352,-10.052735992908737,0.0,-10.052778599188915,-10.052710962509032,-8.081772948962016,-12.76477758661509,10.04699767303953,0.00040288498530907457
LONG,250,500,TIGHT_DEEP,2429,99.91766158913133,-10.055030836389177,-10.052670963254164,0.0,-10.052702068536417,-10.052618833278055,-8.632116031909902,-12.200519887613055,10.053410769402502,6.381694359418094e-05
LONG,250,500,TIGHT_THIN,2420,100.0,-10.056010755725204,-10.05266347015122,0.0,-10.052694288772082,-10.052616063297203,-8.422730630555938,-12.4729165531556,10.052509960740275,0.0001757113575065313
LONG,250,500,WIDE_DEEP,1167,100.0,-10.046249083682895,-10.052732097729804,0.0,-10.052778041799998,-10.052710962509032,-6.681829924485879,-12.117334527403973,10.057033261507108,0.0003380120079182246
