horizon_ms,notional,context,long_samples,short_samples,long_mean_net_bps,short_mean_net_bps,both_weak_or_negative,strategy_threshold_created
250,100,SPREAD_HIGH|VOL_HIGH,927,927,-10.045660852162577,-10.060265254014865,True,False
250,100,SPREAD_HIGH|VOL_LOW,1003,1003,-10.054781719493777,-10.050739136104799,True,False
250,100,SPREAD_HIGH|VOL_MID,413,413,-10.042526580860384,-10.063012554246578,True,False
250,100,SPREAD_LOW|VOL_HIGH,704,704,-10.055433343937043,-10.049949013674295,True,False
250,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.057083867386249,-10.048260910704938,True,False
250,100,SPREAD_LOW|VOL_MID,598,598,-10.052861465103973,-10.05256603231465,True,False
250,100,SPREAD_MID|VOL_HIGH,766,766,-10.054413336878222,-10.05116714556314,True,False
250,100,SPREAD_MID|VOL_LOW,1016,1016,-10.06005014645725,-10.045383356965583,True,False
250,100,SPREAD_MID|VOL_MID,550,550,-10.047415608593704,-10.058011354657651,True,False
250,1000,SPREAD_HIGH|VOL_HIGH,927,927,-10.046624616819523,-10.06116535063671,True,False
250,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-10.054781719493777,-10.050739136104799,True,False
250,1000,SPREAD_HIGH|VOL_MID,413,413,-10.042571274780183,-10.06305729202093,True,False
250,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.055792632527771,-10.05008405390779,True,False
250,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.057147606284996,-10.048260910704938,True,False
250,1000,SPREAD_LOW|VOL_MID,598,598,-10.053084987452484,-10.052789777358141,True,False
250,1000,SPREAD_MID|VOL_HIGH,766,766,-10.054824726031754,-10.051792247166182,True,False
250,1000,SPREAD_MID|VOL_LOW,1016,1016,-10.06005014645725,-10.045412606919173,True,False
250,1000,SPREAD_MID|VOL_MID,550,550,-10.047415608593704,-10.058011354657651,True,False
250,500,SPREAD_HIGH|VOL_HIGH,927,927,-10.04627920599823,-10.06086457686435,True,False
250,500,SPREAD_HIGH|VOL_LOW,1003,1003,-10.054781719493777,-10.050739136104799,True,False
250,500,SPREAD_HIGH|VOL_MID,413,413,-10.042526580860384,-10.063012554246578,True,False
250,500,SPREAD_LOW|VOL_HIGH,704,704,-10.05568992810145,-10.049989943327537,True,False
250,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.057139119209236,-10.048260910704938,True,False
250,500,SPREAD_LOW|VOL_MID,598,598,-10.053004426095569,-10.05270913557962,True,False
250,500,SPREAD_MID|VOL_HIGH,766,766,-10.054574709471346,-10.051329379984246,True,False
250,500,SPREAD_MID|VOL_LOW,1016,1016,-10.06005014645725,-10.04540935691575,True,False
250,500,SPREAD_MID|VOL_MID,550,550,-10.047415608593704,-10.058011354657651,True,False
500,100,SPREAD_HIGH|VOL_HIGH,927,927,-10.043374303779261,-10.0627470433981,True,False
500,100,SPREAD_HIGH|VOL_LOW,1003,1003,-10.053253392852284,-10.052268999928199,True,False
500,100,SPREAD_HIGH|VOL_MID,413,413,-10.048406079926453,-10.057209019231651,True,False
500,100,SPREAD_LOW|VOL_HIGH,704,704,-10.062389339344966,-10.042986022108463,True,False
500,100,SPREAD_LOW|VOL_LOW,1213,1213,-10.06145555720665,-10.043870262494087,True,False
500,100,SPREAD_LOW|VOL_MID,598,598,-10.054482171445928,-10.050895785324169,True,False
500,100,SPREAD_MID|VOL_HIGH,766,766,-10.055648411002473,-10.049930829245719,True,False
500,100,SPREAD_MID|VOL_LOW,1016,1016,-10.060589936608798,-10.044862426912301,True,False
500,100,SPREAD_MID|VOL_MID,549,549,-10.043184938541943,-10.062246264795236,True,False
500,1000,SPREAD_HIGH|VOL_HIGH,927,927,-10.044480913998372,-10.06376892708201,True,False
500,1000,SPREAD_HIGH|VOL_LOW,1003,1003,-10.053253392852284,-10.052268999928199,True,False
500,1000,SPREAD_HIGH|VOL_MID,413,413,-10.04845077384625,-10.057762443921531,True,False
500,1000,SPREAD_LOW|VOL_HIGH,704,704,-10.062781679344686,-10.043378751552723,True,False
500,1000,SPREAD_LOW|VOL_LOW,1213,1213,-10.06145555720665,-10.043870262494087,True,False
500,1000,SPREAD_LOW|VOL_MID,598,598,-10.054618887698638,-10.05111953036766,True,False
500,1000,SPREAD_MID|VOL_HIGH,766,766,-10.05605981013819,-10.050394338728427,True,False
500,1000,SPREAD_MID|VOL_LOW,1016,1016,-10.060619154199129,-10.044891676865893,True,False
500,1000,SPREAD_MID|VOL_MID,549,549,-10.043184938541943,-10.062246264795236,True,False
500,500,SPREAD_HIGH|VOL_HIGH,927,927,-10.044096139571627,-10.063464668387292,True,False
500,500,SPREAD_HIGH|VOL_LOW,1003,1003,-10.053253392852284,-10.052268999928199,True,False
500,500,SPREAD_HIGH|VOL_MID,413,413,-10.048406079926453,-10.057468702598035,True,False
500,500,SPREAD_LOW|VOL_HIGH,704,704,-10.062645923509372,-10.043242858618095,True,False
500,500,SPREAD_LOW|VOL_LOW,1213,1213,-10.06145555720665,-10.043870262494087,True,False
500,500,SPREAD_LOW|VOL_MID,598,598,-10.054579609928725,-10.05103888858914,True,False
