side,temporal_block,horizon_ms,notional,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,2026-08-07T04:00Z,250,100,7064,100.0,-10.053608522674361,-10.052678736133437,0.0,-10.052754642091818,-10.052619664329185,-8.15640155323295,-12.408799405160476,10.052446900912372,4.4037494060437024e-05
LONG,2026-08-07T04:00Z,250,1000,7064,100.0,-10.053847893191623,-10.052678736133437,0.0,-10.052754642091818,-10.052619664329185,-8.15664369835723,-12.409001217042436,10.05268638980414,0.0002835263858289176
LONG,2026-08-07T04:00Z,250,500,7064,100.0,-10.053754328421526,-10.052678736133437,0.0,-10.052754642091818,-10.052619664329185,-8.156540778271985,-12.40891765249227,10.052592778232185,0.00018991481387367598
LONG,2026-08-07T04:00Z,500,100,7064,100.0,-10.055399675082702,-10.052677903213905,0.0,-10.05276076858108,-10.052618002253178,-8.15640155323295,-12.408799405160476,10.054297958886899,4.627337502580174e-05
LONG,2026-08-07T04:00Z,500,1000,7064,100.0,-10.05564699483789,-10.052677903213905,0.0,-10.05276076858108,-10.052618002253178,-8.15664369835723,-12.409001217042436,10.054545395682396,0.0002937101705241186
LONG,2026-08-07T04:00Z,500,500,7064,100.0,-10.05554945476244,-10.052677903213905,0.0,-10.05276076858108,-10.052618002253178,-8.156540778271985,-12.40891765249227,10.054447809036985,0.00019612352511374183
LONG,2026-08-07T04:00Z,1000,100,7064,100.0,-10.058003706733324,-10.052677903213905,0.0,-10.052778041799998,-10.052615509336029,-8.15640155323295,-12.408799405160476,10.053771910300341,4.403747617650728e-05
LONG,2026-08-07T04:00Z,1000,1000,7064,100.0,-10.058240472431917,-10.052677903213905,0.0,-10.052778041799998,-10.052615509336029,-8.15664369835723,-12.409001217042436,10.054008784785607,0.0002809119614402
LONG,2026-08-07T04:00Z,1000,500,7064,100.0,-10.058149517276401,-10.052677903213905,0.0,-10.052778041799998,-10.052615509336029,-8.156540778271985,-12.40891765249227,10.053917787601227,0.0001899147770625873
LONG,2026-08-07T04:00Z,3000,100,7064,100.0,-10.067223532984382,-10.05267568222782,0.0,-10.737751158585128,-9.419897956491686,-8.15640155323295,-12.408799405160476,10.051755472889447,5.0326126213214744e-05
LONG,2026-08-07T04:00Z,3000,1000,7064,100.0,-10.067493339730827,-10.05267568222782,0.0,-10.737751158585128,-9.420086907840629,-8.15664369835723,-12.409001217042436,10.05202542782241,0.0003202810591782673
LONG,2026-08-07T04:00Z,3000,500,7064,100.0,-10.067391669422191,-10.05267568222782,0.0,-10.737751158585128,-9.419897956491686,-8.156540778271985,-12.40891765249227,10.051923703689742,0.00021855692650860206
LONG,2026-08-07T04:00Z,5000,100,7064,100.0,-10.079600805515874,-10.052674016611155,0.0,-11.053985795709186,-9.155912360985754,-8.15640155323295,-12.408799405160476,10.055380268672584,4.3190923752645785e-05
LONG,2026-08-07T04:00Z,5000,1000,7064,100.0,-10.079841570991098,-10.052674016611155,0.0,-11.053985795709186,-9.155912360985754,-8.15664369835723,-12.409001217042436,10.05562116671018,0.0002840889613477851
LONG,2026-08-07T04:00Z,5000,500,7064,100.0,-10.079747110750207,-10.052674016611155,0.0,-11.053985795709186,-9.155912360985754,-8.156540778271985,-12.40891765249227,10.05552665578597,0.000189578037139307
LONG,2026-08-07T04:00Z,15000,100,7064,100.0,-10.131114105332069,-10.052669020393108,0.0,-11.949082418914504,-8.156409418609554,-8.15640155323295,-12.408799405160476,10.052403087153888,4.4327748574652105e-05
LONG,2026-08-07T04:00Z,15000,1000,7064,100.0,-10.131346715558442,-10.052669020393108,0.0,-11.949082418914504,-8.156409418609554,-8.15664369835723,-12.409001217042436,10.05263582411154,0.00027706470622798016
LONG,2026-08-07T04:00Z,15000,500,7064,100.0,-10.131254149156588,-10.052669020393108,0.0,-11.949082418914504,-8.156409418609554,-8.156540778271985,-12.40891765249227,10.052543207496006,0.00018444809069460401
LONG,2026-08-07T04:00Z,30000,100,7064,100.0,-10.192244169213593,-10.052692066404129,0.0,-13.110734236776722,-7.26310024697079,-8.15640155323295,-12.408799405160476,10.053480342879398,5.002693964662991e-05
LONG,2026-08-07T04:00Z,30000,1000,7064,100.0,-10.192524008845126,-10.052692066404129,0.0,-13.110734236776722,-7.26310024697079,-8.15664369835723,-12.409001217042436,10.053760347305396,0.0003300313656451556
LONG,2026-08-07T04:00Z,30000,500,7064,100.0,-10.19241805336102,-10.052692066404129,0.0,-13.110734236776722,-7.26310024697079,-8.156540778271985,-12.40891765249227,10.053654327132598,0.00022401119284671153
LONG,2026-08-07T04:00Z,60000,100,7064,98.40033975084938,-10.383390082325924,-10.157846528008086,0.0,-15.429343670068297,-6.0519455211932245,-8.15640155323295,-12.408799405160476,10.053592908682697,4.546193330784437e-05
LONG,2026-08-07T04:00Z,60000,1000,7064,98.40033975084938,-10.38364912298579,-10.157846528008086,0.0,-15.429343670068297,-6.0519455211932245,-8.15664369835723,-12.409001217042436,10.05385212385459,0.00030467710520269914
LONG,2026-08-07T04:00Z,60000,500,7064,98.40033975084938,-10.383547770245888,-10.157846528008086,0.0,-15.429343670068297,-6.0519455211932245,-8.156540778271985,-12.40891765249227,10.053750704712929,0.00020325796354025332
LONG,2026-08-07T05:00Z,250,100,128,98.4375,-10.038060788173143,-10.052697622675531,0.0,-10.05270651514752,-10.052688455455984,-8.076876168991015,-10.259487454168093,10.05481695916221,-1.213382316213033e-24
LONG,2026-08-07T05:00Z,250,1000,128,98.4375,-10.038060788173143,-10.052697622675531,0.0,-10.05270651514752,-10.052688455455984,-8.076876168991015,-10.259487454168093,10.05481695916221,-1.213382316213033e-24
LONG,2026-08-07T05:00Z,250,500,128,98.4375,-10.038060788173143,-10.052697622675531,0.0,-10.05270651514752,-10.052688455455984,-8.076876168991015,-10.259487454168093,10.05481695916221,0.0
LONG,2026-08-07T05:00Z,500,100,128,97.65625,-10.009697222854216,-10.052697622675531,0.0,-10.05270651514752,-10.052688455455984,-8.076876168991015,-10.259487454168093,10.041336549658201,-1.1387367808929293e-24
LONG,2026-08-07T05:00Z,500,1000,128,97.65625,-10.009697222854216,-10.052697622675531,0.0,-10.05270651514752,-10.052688455455984,-8.076876168991015,-10.259487454168093,10.041336549658201,-1.1387367808929293e-24
LONG,2026-08-07T05:00Z,500,500,128,97.65625,-10.009697222854216,-10.052697622675531,0.0,-10.05270651514752,-10.052688455455984,-8.076876168991015,-10.259487454168093,10.041336549658201,0.0
LONG,2026-08-07T05:00Z,1000,100,128,96.875,-9.973225573194815,-10.052697622675531,0.0,-10.05270651514752,-9.525778902419738,-8.076876168991015,-10.259487454168093,10.048472738089787,-1.062882801967039e-24
LONG,2026-08-07T05:00Z,1000,1000,128,96.875,-9.973225573194815,-10.052697622675531,0.0,-10.05270651514752,-9.525778902419738,-8.076876168991015,-10.259487454168093,10.048472738089787,-1.062882801967039e-24
LONG,2026-08-07T05:00Z,1000,500,128,96.875,-9.973225573194815,-10.052697622675531,0.0,-10.05270651514752,-9.525778902419738,-8.076876168991015,-10.259487454168093,10.048472738089787,0.0
LONG,2026-08-07T05:00Z,3000,100,128,89.84375,-9.778198790806929,-10.052697622675531,0.0,-10.442710381390965,-8.555919738711443,-8.076876168991015,-10.259487454168093,10.058227027667481,-7.793640712875235e-25
LONG,2026-08-07T05:00Z,3000,1000,128,89.84375,-9.778198790806929,-10.052697622675531,0.0,-10.442710381390965,-8.555919738711443,-8.076876168991015,-10.259487454168093,10.058227027667481,-7.793640712875235e-25
LONG,2026-08-07T05:00Z,3000,500,128,89.84375,-9.778198790806929,-10.052697622675531,0.0,-10.442710381390965,-8.555919738711443,-8.076876168991015,-10.259487454168093,10.058227027667481,0.0
LONG,2026-08-07T05:00Z,5000,100,128,84.375,-9.578876503297257,-10.052697622675531,0.0,-10.7905393648266,-8.35037144361371,-8.076876168991015,-10.259487454168093,10.039057803852343,-4.393844162443795e-25
LONG,2026-08-07T05:00Z,5000,1000,128,84.375,-9.578876503297257,-10.052697622675531,0.0,-10.7905393648266,-8.35037144361371,-8.076876168991015,-10.259487454168093,10.039057803852343,-4.393844162443795e-25
