side,horizon_ms,notional,regime,samples,executable_percent,mean_net_return_bps,median_net_return_bps,positive_percent,p10_net_return_bps,p90_net_return_bps,mean_mfe_bps,mean_mae_bps,average_cost_bps,average_depth_slippage_bps
LONG,250,100,EXTREME,1782,100.0,-10.050590361856443,-10.052687899969426,0.0,-10.052765782221707,-10.052625759506334,-7.945634656899858,-12.479387201715184,10.04889224266622,0.00014859057673754288
LONG,250,100,HIGH,1805,99.88919667590028,-10.047690649168665,-10.052683734193563,0.0,-10.052754642091818,-10.052622157640084,-8.19835858656913,-12.753924398303472,10.051163935700037,-7.189994348188252e-25
LONG,250,100,LOW,3232,100.0,-10.057301901173373,-10.052675959840839,0.0,-10.05275074415757,-10.052618833278055,-8.132759040517707,-12.038216643358737,10.055912082500162,5.4625910974792786e-06
LONG,250,100,MEDIUM,373,100.0,-10.059378696005014,-10.052664302612929,0.0,-10.052732097729804,-10.052615509336029,-9.138195114691516,-12.8816356713179,10.046406010081874,7.677575300153527e-05
LONG,250,1000,EXTREME,1782,100.0,-10.05141049266254,-10.052687899969426,0.0,-10.052765782221707,-10.052625759506334,-7.946531969935706,-12.480092016534504,10.04971277585105,0.0009691237615685985
LONG,250,1000,HIGH,1805,99.88919667590028,-10.047700886877417,-10.052683734193563,0.0,-10.052754642091818,-10.052622157640084,-8.198375050113889,-12.753924398303472,10.051174178719373,1.0243019337291208e-05
LONG,250,1000,LOW,3232,100.0,-10.057325822981598,-10.052675959840839,0.0,-10.05275074415757,-10.052618833278055,-8.132759040517707,-12.038243817977452,10.055936017598569,2.9397689502868202e-05
LONG,250,1000,MEDIUM,373,100.0,-10.059737050869385,-10.052664302612929,0.0,-10.052732097729804,-10.052615509336029,-9.13841442057166,-12.881854949490707,10.046764543578314,0.0004353092494418915
LONG,250,500,EXTREME,1782,100.0,-10.05108276402464,-10.052687899969426,0.0,-10.052765782221707,-10.052625759506334,-7.946139025779514,-12.479785609480684,10.049384884077623,0.0006412319881408699
LONG,250,500,HIGH,1805,99.88919667590028,-10.047690649168665,-10.052683734193563,0.0,-10.052754642091818,-10.052622157640084,-8.198373220831137,-12.753924398303472,10.051163935700037,0.0
