side,horizon_ms,notional,execution_policy,latency_profile,fee_profile,gross_movement_bps,maker_fee_bps,taker_fee_bps,spread_crossing_bps,queue_opportunity_cost_bps,depth_slippage_bps,latency_slippage_bps,missed_fills,total_cost_bps,net_edge_bps,status,dataset_status
SHORT,120000,100,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,300000,100,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,600000,100,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,900000,100,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,120000,500,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,300000,500,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,600000,500,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,900000,500,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,120000,1000,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,300000,1000,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,600000,1000,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,900000,1000,TAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,0,10.0000,,,,,,10.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,120000,100,MAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,2,5.0000,,,,,,7.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,300000,100,MAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,2,5.0000,,,,,,7.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,600000,100,MAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,2,5.0000,,,,,,7.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
SHORT,900000,100,MAKER_TAKER_V1,NORMAL,RESEARCH_FEE_PROFILE_V1,,2,5.0000,,,,,,7.0000,,MORE_DATA_REQUIRED,ENGINEERING_ONLY
