segment,parameter,value,is_base,net_return,closed_trades,maximum_drawdown_percent,warning,uses_consumed_test_period
development,BASE,BASE,True,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,BASE,BASE,True,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,short_ema_period,15,False,0.85208384782244269344800,7,0.2424129431134497052299972704,,False
validation,short_ema_period,15,False,0.07403725474985681746600,3,0.1847661754686609914956544252,,False
development,short_ema_period,20,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,short_ema_period,20,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,short_ema_period,25,False,0.11470420577118635866800,5,0.3929282403811962117113383209,,False
validation,short_ema_period,25,False,0,0,0,,False
development,long_ema_period,40,False,0.11470420577118635866800,5,0.3929282403811962117113383209,,False
validation,long_ema_period,40,False,0,0,0,,False
development,long_ema_period,50,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,long_ema_period,50,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,long_ema_period,60,False,0.7428804545373601859900,5,0.2424129480308920723826976757,,False
validation,long_ema_period,60,False,0.0755655911853989472800,2,0.1350799222444781929637733486,,False
development,minimum_volume_ratio,0.8,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,minimum_volume_ratio,0.8,False,-0.02350952913361728629200,1,0.1801724040002544666996963744,,False
development,minimum_volume_ratio,1.0,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,minimum_volume_ratio,1.0,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,minimum_volume_ratio,1.2,False,0.16309743581693322919200,5,0.3727587462541795538887467741,,False
validation,minimum_volume_ratio,1.2,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,maximum_atr_relative,0.03,False,0.1320671408878169596700,12,0.6688034474919542794760431612,,False
validation,maximum_atr_relative,0.03,False,-0.20343007785782283642200,5,0.4030529187979800445229212729,,False
development,maximum_atr_relative,0.05,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,maximum_atr_relative,0.05,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,maximum_atr_relative,0.07,False,0.52908382427681829209800,3,0.2424129457513319686551347258,,False
validation,maximum_atr_relative,0.07,False,0,0,0,,False
development,stop_atr_multiple,1.5,False,0.30411090616299850089600,7,0.3263560387533009498743841985,,False
validation,stop_atr_multiple,1.5,False,-0.1375537018515409951200,1,0.2376432444804609914006183749,,False
development,stop_atr_multiple,2.0,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,stop_atr_multiple,2.0,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,stop_atr_multiple,2.5,False,1.72301256663610183166200,4,0.2819234177785654097536676486,,False
validation,stop_atr_multiple,2.5,False,-0.2112561706989291308100,1,0.3112718432528508333996797260,,False
development,target_r_multiple,1.5,False,0,0,0,,False
validation,target_r_multiple,1.5,False,0,0,0,,False
development,target_r_multiple,2.0,False,0.60808538762398221526400,5,0.2816075314416241566944982912,,False
validation,target_r_multiple,2.0,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
development,target_r_multiple,2.5,False,0.66350816509247797610200,3,0.2816075314416241566944982912,,False
validation,target_r_multiple,2.5,False,-0.1744049362841342713800,1,0.2744575438755462013691206859,,False
