market,mode,variant_id,pullbacks,resumptions,signals,trades,trades_per_year,fold_count,folds_with_trades,folds_with_trades_percent,zero_trade_fold_percent,long_signals,short_signals,exposure_percent,status
SPOT,LONG,CALIBRATION_BASE,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,EXTENSION_1_5,12,2,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,EXTENSION_2_0,14,4,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,NO_MINIMUM_DEPTH,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,VOLUME_RELAXED,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,VOLATILITY_RELAXED,0,0,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,PERSISTENCE_2,12,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
SPOT,LONG,DIRECTIONAL_CLOSE_RELAXED,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,CALIBRATION_BASE,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,EXTENSION_1_5,12,2,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,EXTENSION_2_0,14,4,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,NO_MINIMUM_DEPTH,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,VOLUME_RELAXED,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,VOLATILITY_RELAXED,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,PERSISTENCE_2,12,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG,DIRECTIONAL_CLOSE_RELAXED,11,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,CALIBRATION_BASE,20,3,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,EXTENSION_1_5,22,4,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,EXTENSION_2_0,23,5,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,NO_MINIMUM_DEPTH,21,4,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,VOLUME_RELAXED,20,3,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,VOLATILITY_RELAXED,20,3,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,PERSISTENCE_2,22,4,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,SHORT,DIRECTIONAL_CLOSE_RELAXED,20,3,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,CALIBRATION_BASE,27,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,EXTENSION_1_5,30,4,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,EXTENSION_2_0,33,7,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,NO_MINIMUM_DEPTH,27,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,VOLUME_RELAXED,27,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,VOLATILITY_RELAXED,27,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,PERSISTENCE_2,30,2,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
FUTURES,LONG_SHORT,DIRECTIONAL_CLOSE_RELAXED,27,1,0,0,0,4,0,0,100,0,0,0,TOO_RESTRICTIVE
