market,mode,variant_id,period,trades,top_1_percent,top_3_percent,top_5_percent,net_pnl_without_top_1,net_pnl_without_top_3,net_pnl_without_top_5
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,18,30.40582337810780510321527830,81.95897368210621362692610763,100,-126.6287953847143069920,-192.8824495632065805142,-213.7300276206027798626
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,17,28.37569228086572135492949653,83.61783749910702766087491986,100,-593.6305736351088278783027272,-959.8452422725042028758675537,-1009.757867511909375915597554
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,41,7.779961046149148863974386836,23.09426710373951153934769357,38.20880601755574286159616915,-76.1997387135057977529958318,-480.5849849817423465358389299,-879.6952363969561427251548457
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,58,6.241047647425537704339715008,18.31040499109193751636448149,30.32797584704970463288122998,-486.9611829074959042388703748,-884.2460750738294433445947043,-1279.826320621526419516400132
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,4,59.25463028728965605833544405,100,100,8.4924655312455661980,-13.1045568527186607528,0
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,4,58.88709976591881426818476303,100,100,-36.93126920170480780792342480,-104.9153288915244444728571430,0
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,19,30.69533358235456702599207055,78.59242468057908333226781381,100,-889.0961123802006236487081636,-1172.074118432817879694422450,-1243.597359681860190423568690
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,23,20.53265901796022111333738876,57.51662789552723769539989424,86.38275651365027555094368719,-752.2357346538005280226396974,-1081.528822560483321301595871,-1338.543332280634087560237300
