market,mode,variant_id,period,scenario,net_return_percent,total_costs,net_funding,warnings,gross_pnl,net_pnl,trades,maximum_drawdown_percent,fees,funding_paid,funding_received
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,LOW,-0.50255711612473778212500,21.08710172445807955350000001,0,,-32.3053649749870375,-50.2557116124737782125,18,0.9406163117143798779970819555,17.9503466374867407125,0,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,-0.87552678886956303640600,42.07199722337059984760000000,0,,-51.7350393663135497,-87.5526788869563036406,18,1.270470357127358153094159219,35.8176395206427539406,0,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,HIGH,-0.31768850148492227122800,80.18879851141166262280000000,0,,36.4409534694912857,-31.7688501484922271228,17,0.9026986434841770972248735353,68.2098036179835128228,0,0
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,-2.14697767249886941619200,167.2739441897803018112000000,0,,-72.3101104501218376,-214.6977672498869416192,18,2.415930760758289434401198632,142.3876567997651040192,0,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,LOW,-3.567263012384542250756590330,19.80394607287825554607142857,-8.200643145669613815301901,,-328.7217120199063557142857118,-356.726301238454225075659033,17,5.125633623500675675827662781,19.80394607287825554607142857,9.273252713863551224725385,1.072609568193937409423484
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,-4.055206676033899961909566270,39.40392577306239374714285714,-8.145673691728976729528062,,-357.9710681385986257142857118,-405.520667603389996190956627,17,5.277538262445041801311636570,39.40392577306239374714285714,9.214694654455086412981621,1.069020962726109683453559
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,HIGH,-5.015509929183293430206584110,78.00949348106213416000000000,-8.038548368290848860658413,,-415.5029510689763599999999977,-501.550992918329343020658411,17,5.579370642799234319881774351,78.00949348106213416000000000,9.100517129893051148626740,1.061968761602202287968327
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,-6.853231969470728384203319320,152.7858546478589087314285714,-7.842712246788055403189078,,-524.6946300524258742857142835,-685.323196947072838420331932,17,6.974211046483492665528147069,152.7858546478589087314285714,8.875647087458207909472873,1.032934840670152506283795
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,STRESS,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LOW,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,HIGH,0,0,0,,0,0,0,0,0,0,0
