market,mode,variant_id,period,scenario,net_return_percent,maximum_drawdown_percent,trades,evaluation_start,evaluation_end,evaluated_candles,initial_capital,final_capital,gross_pnl,net_pnl,wins,win_rate_percent,profit_factor,expectancy,total_costs,fees,funding_paid,funding_received,net_funding,liquidation_count,buy_and_hold_return_percent,warnings
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,-0.87552678886956303640600,1.270470357127358153094159219,18,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17419,10000,9912.4473211130436963594,-51.7350393663135497,-87.5526788869563036406,4,22.22222222222222222222222222,0.5947909349129502683528829285,-4.864037715942016868922222222,42.07199722337059984760000000,35.8176395206427539406,0,0,0,0,-40.09959469108320383048427065,"BACKTEST_ONLY: no real orders were sent;execution uses simulated fees, spread and slippage;ambiguous intrabar policy is STOP_FIRST;WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00"
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17419,10000,10000,0,0,0,,,,0,0,0,0,0,0,-40.09959469108320383048427065,"BACKTEST_ONLY: no real orders were sent;execution uses simulated fees, spread and slippage;ambiguous intrabar policy is STOP_FIRST;WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00"
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17419,10000,10000,0,0,0,,,,0,0,0,0,0,0,-40.09959469108320383048427065,"BACKTEST_ONLY: no real orders were sent;execution uses simulated fees, spread and slippage;ambiguous intrabar policy is STOP_FIRST;WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00"
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17419,10000,10000,0,0,0,,,,0,0,0,0,0,0,-40.09959469108320383048427065,"BACKTEST_ONLY: no real orders were sent;execution uses simulated fees, spread and slippage;ambiguous intrabar policy is STOP_FIRST;WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00"
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17419,10000,10000,0,0,0,,,,0,0,0,0,0,0,-40.09959469108320383048427065,"BACKTEST_ONLY: no real orders were sent;execution uses simulated fees, spread and slippage;ambiguous intrabar policy is STOP_FIRST;WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00"
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17419,10000,10000,0,0,0,,,,0,0,0,0,0,0,-40.09959469108320383048427065,"BACKTEST_ONLY: no real orders were sent;execution uses simulated fees, spread and slippage;ambiguous intrabar policy is STOP_FIRST;WARMUP_REDUCED_EVALUATION_PERIOD: requested=2022-01-01T00:00:00+00:00 effective=2022-01-05T04:00:00+00:00"
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,-4.055206676033899961909566270,5.277538262445041801311636570,17,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,9594.479332396610003809043373,-357.9710681385986257142857118,-405.520667603389996190956627,4,23.52941176470588235294117647,0.6204578160065376394290106650,-23.85415691784647036417391924,39.40392577306239374714285714,39.40392577306239374714285714,9.214694654455086412981621,1.069020962726109683453559,-8.145673691728976729528062,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,BASE,0,0,0,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17420,10000,10000,0,0,0,,,,0,0,0,0,0,0,-37.87149654108666733768406506,LIQUIDATION_MODEL_APPROXIMATE;MAINTENANCE_MARGIN_APPROXIMATE
