market,mode,variant_id,period,scenario,fold,train_start,train_end,validation_start,validation_end,net_return_percent,maximum_drawdown_percent,trades,total_costs,net_funding,long_pnl,short_pnl,locked_parameters,fold_count,positive_fold_count,positive_fold_percent,zero_trade_fold_count,zero_trade_fold_percent,median_return_percent,mean_return_percent,worst_fold_return_percent,best_fold_return_percent,best_trade_concentration_percent,net_pnl_without_top_three
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,-0.27211564047471447308800,0.3433671527297743565321349370,4,9.340187769874691708800000000,0,-27.2115640474714473088,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,BASE,CONSOLIDATED,,,,,,0.3433671527297743565321349370,4,9.340187769874691708800000000,0,-27.2115640474714473088,0,False,4,0,0,3,75.00,0,-0.06802891011867861827200,-0.27211564047471447308800,0,100,-19.0779014341881061936
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,1,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,-0.59373128590077959452800,0.59373128590077959452800,4,37.31579183931832355280000000,0,-59.3731285900779594528,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,2,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-29T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,3,2022-06-30T00:00:00+00:00,2023-06-29T23:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-27T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,4,2022-09-28T00:00:00+00:00,2023-09-27T23:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-26T23:00:00+00:00,0,0,0,0,0,0,0,False,,,,,,,,,,,
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,STRESS,CONSOLIDATED,,,,,,0.59373128590077959452800,4,37.31579183931832355280000000,0,-59.3731285900779594528,0,False,4,0,0,3,75.00,0,-0.14843282147519489863200,-0.59373128590077959452800,0,100,-27.0452263161879449344
