market,mode,variant_id,period,net_return_percent,maximum_drawdown_percent,trades,long_pnl,short_pnl,total_costs,net_funding,buy_and_hold_return_percent,separate_capital,balance_transfer
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,-0.87552678886956303640600,1.270470357127358153094159219,18,-87.5526788869563036406,0,42.07199722337059984760000000,0,-40.09959469108320383048427065,True,False
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0,-40.09959469108320383048427065,True,False
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0,-40.09959469108320383048427065,True,False
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0,-40.09959469108320383048427065,True,False
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-40.09959469108320383048427065,True,False
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-40.09959469108320383048427065,True,False
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,-4.055206676033899961909566270,5.277538262445041801311636570,17,-405.5206676033899961909566310,0,39.40392577306239374714285714,-8.145673691728976729528062,-37.87149654108666733768406506,True,False
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,1.292357182881505843009123200,6.110751809197362532085945275,41,0,129.2357182881505843009123651,92.13388615255577212642857145,-3.963755918280870715516205,-37.87149654108666733768406506,True,False
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,-2.815257259058395221849622040,9.918154880241676708855790223,58,-417.4078847016160392877152287,135.8821587957765171027530508,131.3117476550858646564285713,-12.223619680224961814247893,-37.87149654108666733768406506,True,False
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,0,0,0,0,0,0,0,-37.87149654108666733768406506,True,False
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,0.4331918068956389509200,0.2442956003932655760284189416,4,43.3191806895638950920,0,9.566833947496729908000000000,0,46.27388939773080850355191137,True,False
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,1.488628297472222966890500200,2.060078761019413073987926039,4,148.8628297472222966890500141,0,9.912651408879446692857142858,-5.990700508630542332378557,46.09473518284993694829760404,True,False
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,-7.077468050821501345972795910,8.001728477562098616341277496,19,0,-707.7468050821501345972795917,42.30479029853593643928571428,6.009849645933120413434693,46.09473518284993694829760404,True,False
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,-5.694196958089207008226396980,7.864087305885190018687724051,23,134.1965107807018750885827217,-703.6162065896225759112224187,51.74389528855097596642857142,0.283592572261368000931731,46.09473518284993694829760404,True,False
