market,mode,variant_id,period,candles_evaluated,trend_detected,persistence_accepted,pullbacks_detected,pullbacks_valid,resumptions,long_signals,short_signals,risk_approvals,executions,closed_trades
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,17419,200,0,0,0,0,60,0,18,18,18
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,17419,129,129,15,13,4,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,17419,45,45,0,0,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,17419,129,129,15,13,4,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,17419,129,129,15,13,4,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,17419,45,45,0,0,0,0,0,0,0,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,17420,501,0,0,0,0,17,0,17,17,17
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,17420,126,126,15,13,4,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,17420,42,42,0,0,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,17420,126,126,15,13,4,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,17420,126,126,15,13,4,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,17420,42,42,0,0,0,0,0,0,0,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,17420,325,0,0,0,0,0,42,41,41,41
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,17420,317,317,30,26,10,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,17420,151,151,12,10,1,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,17420,317,317,30,26,10,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,17420,317,317,30,26,10,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,17420,151,151,12,10,1,0,0,0,0,0
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,17420,207,0,0,0,0,17,42,58,58,58
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,17420,440,440,42,39,14,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,17420,192,192,11,10,1,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,17420,440,440,42,39,14,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,17420,440,440,42,39,14,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,17420,192,192,11,10,1,0,0,0,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,8784,79,0,0,0,0,33,0,4,4,4
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,8784,138,0,0,0,0,4,0,4,4,4
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,8784,121,0,0,0,0,0,19,19,19,19
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,VALIDATION,8784,58,0,0,0,0,4,19,23,23,23
