market,mode,variant_id,period,side,trades,net_pnl,gross_pnl,fees,net_funding,wins
SPOT,LONG,ORIGINAL_BASELINE,DEVELOPMENT,LONG,18,-87.5526788869563036406,-51.7350393663135497,35.8176395206427539406,0,4
SPOT,LONG,PULLBACK_BASE,DEVELOPMENT,LONG,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LONG,0,0,0,0,0,0
SPOT,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LONG,0,0,0,0,0,0
SPOT,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
SPOT,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,LONG,17,-405.5206676033899961909566310,-357.9710681385986257142857118,39.40392577306239374714285714,-8.145673691728976729528062,4
FUTURES,LONG,ORIGINAL_BASELINE,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_BASE,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_TIME_EXIT_24,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,SHORT,ORIGINAL_BASELINE,DEVELOPMENT,SHORT,41,129.2357182881505843009123651,225.3333603589872271428571419,92.13388615255577212642857145,-3.963755918280870715516205,15
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_BASE,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,LONG,17,-417.4078847016160392877152287,-367.9288020176044414285714262,41.01069417980514691928571428,-8.468388504206450939858088,4
FUTURES,LONG_SHORT,ORIGINAL_BASELINE,DEVELOPMENT,SHORT,41,135.8821587957765171027530508,229.9384434470757457142857132,90.30105347528071773714285715,-3.755231176018510874389805,15
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_BASE,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_TIME_EXIT_24,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_REGIME_LOSS_EXIT,DEVELOPMENT,SHORT,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,LONG,0,0,0,0,0,0
FUTURES,LONG_SHORT,PULLBACK_PERSISTENCE_6_REGIME_LOSS_EXIT,DEVELOPMENT,SHORT,0,0,0,0,0,0
SPOT,LONG,ORIGINAL_BASELINE,VALIDATION,LONG,4,43.3191806895638950920,51.4449845038847340,8.1258038143208389080,0,2
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,LONG,4,148.8628297472222966890500141,164.7661816647322857142857140,9.912651408879446692857142858,-5.990700508630542332378557,2
FUTURES,LONG,ORIGINAL_BASELINE,VALIDATION,SHORT,0,0,0,0,0,0
FUTURES,SHORT,ORIGINAL_BASELINE,VALIDATION,LONG,0,0,0,0,0,0
