fold,scenario,net_return,final_capital,total_costs,trade_count,drawdown,difference_against_base,status,warning
fold-1-validation,LOW_COST,-0.08772909494288611101300,9991.2270905057113888987,3.517044508502552401300000000,3,0.2330125653969502648726617422,0.18438654553182836207500,NEGATIVE,
fold-1-validation,BASE_COST,-0.27211564047471447308800,9972.7884359525285526912,9.340187769874691708800000000,4,0.3433671527297743565321349370,0E-23,NEGATIVE,
fold-1-validation,HIGH_COST,-0.3538459309463125698600,9964.6154069053687430140,18.68798248187253848600000000,4,0.418326569138445131500,-0.08173029047159809677200,NEGATIVE,
fold-1-validation,STRESS_COST,-0.59373128590077959452800,9940.6268714099220405472,37.31579183931832355280000000,4,0.59373128590077959452800,-0.32161564542606512144000,NEGATIVE,
fold-2-validation,LOW_COST,0,10000,0,0,0,0,NEGATIVE,
fold-2-validation,BASE_COST,0,10000,0,0,0,0,NEGATIVE,
fold-2-validation,HIGH_COST,0,10000,0,0,0,0,NEGATIVE,
fold-2-validation,STRESS_COST,0,10000,0,0,0,0,NEGATIVE,
fold-3-validation,LOW_COST,0,10000,0,0,0,0,NEGATIVE,
fold-3-validation,BASE_COST,0,10000,0,0,0,0,NEGATIVE,
fold-3-validation,HIGH_COST,0,10000,0,0,0,0,NEGATIVE,
fold-3-validation,STRESS_COST,0,10000,0,0,0,0,NEGATIVE,
fold-4-validation,LOW_COST,0,10000,0,0,0,0,NEGATIVE,
fold-4-validation,BASE_COST,0,10000,0,0,0,0,NEGATIVE,
fold-4-validation,HIGH_COST,0,10000,0,0,0,0,NEGATIVE,
fold-4-validation,STRESS_COST,0,10000,0,0,0,0,NEGATIVE,
fold-5-validation,LOW_COST,-0.01175231638903997700,9998.8247683610960023,1.17523163799952545000,1,0.2392887036840371234054720730,0.01175703767517662700,NEGATIVE,
fold-5-validation,BASE_COST,-0.02350935406421660400,9997.6490645935783396,2.350935406673171400,1,0.2442956003932655760284189416,0E-20,NEGATIVE,
fold-5-validation,HIGH_COST,-0.04703757866963204400,9995.2962421330367956,4.703757866034548400,1,0.2543150873408127637855822773,-0.02352822460541544000,NEGATIVE,
fold-5-validation,STRESS_COST,-0.09415052182740230400,9990.5849478172597696,9.415052182895006400,1,0.2743767579332975510424167196,-0.07064116776318570000,NEGATIVE,
fold-6-validation,LOW_COST,0.36235673319652053521400,10036.2356733196520535214,1.225796001400295078600000000,1,0.2027164158703277527231460261,0.01400769647023916258600,POSITIVE,
fold-6-validation,BASE_COST,0.34834903672628137262800,10034.8349036726281372628,2.451565657272071337200000000,1,0.2027300735547985010944379142,0E-23,POSITIVE,
fold-6-validation,HIGH_COST,0.32033443415165861205600,10032.0334434151658612056,4.903025932430067394400000000,1,0.2027574156813986636099726369,-0.02801460257462276057200,POSITIVE,
fold-6-validation,STRESS_COST,0.26430839046583534931200,10026.4308390465835349312,9.805630336403833668800000000,1,0.2028122070559122567744350799,-0.08404064626044602331600,POSITIVE,
fold-7-validation,LOW_COST,0,10000,0,0,0,0,NEGATIVE,
fold-7-validation,BASE_COST,0,10000,0,0,0,0,NEGATIVE,
fold-7-validation,HIGH_COST,0,10000,0,0,0,0,NEGATIVE,
fold-7-validation,STRESS_COST,0,10000,0,0,0,0,NEGATIVE,
fold-8-validation,LOW_COST,0.13465049627008194439500,10013.4650496270081944395,2.374822472679316060500000000,2,0.1411837986576210341823335019,0.02656749480446205794100,POSITIVE,
fold-8-validation,BASE_COST,0.10808300146561988645400,10010.8083001465619886454,4.749484847134758654600000000,2,0.1779879505487090257842912763,0E-23,POSITIVE,
fold-8-validation,HIGH_COST,0.05362377199822497560400,10005.3623771998224975604,9.497637143152317339600000000,2,0.1912072414081919596871677201,-0.05445922946739491085000,POSITIVE,
fold-8-validation,STRESS_COST,-0.05524886291794724054400,9994.4751137082052759456,18.98994280351954835440000000,2,0.2376879623013987717700559623,-0.16333186438356712699800,NEGATIVE,
fold-9-validation,LOW_COST,0,10000,0,0,0,0,NEGATIVE,
fold-9-validation,BASE_COST,0,10000,0,0,0,0,NEGATIVE,
fold-9-validation,HIGH_COST,0,10000,0,0,0,0,NEGATIVE,
fold-9-validation,STRESS_COST,0,10000,0,0,0,0,NEGATIVE,
fold-10-validation,LOW_COST,0.5171427239859729550800,10051.7142723985972955080,7.153105603703416492000000000,6,0.3378272506051286701407391025,0.08452280881185515711200,POSITIVE,
fold-10-validation,BASE_COST,0.43261991517411779796800,10043.2619915174117797968,14.30085025644359180320000000,6,0.3704161128423874833760280126,0E-23,POSITIVE,
fold-10-validation,HIGH_COST,0.26484710176469426560800,10026.4847101764694265608,28.57933491295730323920000000,6,0.4234541952032625610102030908,-0.16777281340942353236000,POSITIVE,
fold-10-validation,STRESS_COST,0.19576972935995936028800,10019.5769729359959360288,47.82672470884602787120000000,5,0.3611593024677492509113711456,-0.23685018581415843768000,POSITIVE,
fold-11-validation,LOW_COST,-0.19384186650113987347500,9980.6158133498860126525,7.031292576617222335000000000,6,0.2981229175417023833740222418,0.08721025375611124779900,NEGATIVE,
fold-11-validation,BASE_COST,-0.28105212025725112127400,9971.8947879742748878726,11.70233270675986625940000000,5,0.4040567244932339436615661110,0E-23,NEGATIVE,
fold-11-validation,HIGH_COST,-0.39799923846239964976800,9960.2000761537600350232,23.40163765331708509680000000,5,0.4533759296317697638252396166,-0.11694711820514852849400,NEGATIVE,
fold-11-validation,STRESS_COST,-0.62292235256211395001600,9937.7077647437886049984,46.81467448864166982560000000,5,0.6378330941739767747300954015,-0.34187023230486282874200,NEGATIVE,
fold-12-validation,LOW_COST,0,10000,0,0,0,0,NEGATIVE,
fold-12-validation,BASE_COST,0,10000,0,0,0,0,NEGATIVE,
fold-12-validation,HIGH_COST,0,10000,0,0,0,0,NEGATIVE,
fold-12-validation,STRESS_COST,0,10000,0,0,0,0,NEGATIVE,
fold-13-validation,LOW_COST,-0.34497110808909912299400,9965.5028891910900877006,2.305136305455861699400000000,2,0.34497110808909912299400,0.02652245705016768049800,NEGATIVE,
