segment,start_time,end_time,input_start_time,requested_evaluation_start_time,effective_evaluation_start_time,input_candle_count,candle_count,warmup_candle_count,evaluated_candle_count,segment_hash,warnings,failed,error,entry_count,closed_trade_count,net_return,maximum_drawdown_percent
fold-1-validation,2023-01-01T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,2022-12-27T20:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2259,2159,100,2159,b7ad58cedf8f3583219606df6887402d8946adb5f4b53b7cea04091f01937deb,,False,,4,4,-0.27211564047471447308800,0.3433671527297743565321349370
fold-2-validation,2023-04-01T00:00:00+00:00,2023-06-29T23:59:59.999000+00:00,2023-03-27T20:00:00+00:00,2023-04-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2260,2160,100,2160,d64fa96f633fd9c458d30a4e34b784135a9bf1aed152d09ed66755be7c45e448,,False,,0,0,0,0
fold-3-validation,2023-06-30T00:00:00+00:00,2023-09-27T23:59:59.999000+00:00,2023-06-25T20:00:00+00:00,2023-06-30T00:00:00+00:00,2023-06-30T00:00:00+00:00,2260,2160,100,2160,3f3a1989bbff829dd55cc0fc045b618792c3aed4a49d28ad38f7f93530b91382,,False,,0,0,0,0
fold-4-validation,2023-09-28T00:00:00+00:00,2023-12-26T23:59:59.999000+00:00,2023-09-23T20:00:00+00:00,2023-09-28T00:00:00+00:00,2023-09-28T00:00:00+00:00,2260,2160,100,2160,4e14d672e4b59e1b4c8d0b8d550ceeca20db88e81e695a95d44eaa3dee3c9d74,,False,,0,0,0,0
fold-5-validation,2023-12-27T00:00:00+00:00,2024-03-25T23:59:59.999000+00:00,2023-12-22T20:00:00+00:00,2023-12-27T00:00:00+00:00,2023-12-27T00:00:00+00:00,2260,2160,100,2160,24c447553914c6578d04433225fec0cc343b2be84bb320f69e20288c1736f2b4,,False,,1,1,-0.02350935406421660400,0.2442956003932655760284189416
fold-6-validation,2024-03-26T00:00:00+00:00,2024-06-23T23:59:59.999000+00:00,2024-03-21T20:00:00+00:00,2024-03-26T00:00:00+00:00,2024-03-26T00:00:00+00:00,2260,2160,100,2160,9136aa0ff623d74ba4f480afec70bc15d310ea7d9524d3bb99bf662465f6f2f7,,False,,1,1,0.34834903672628137262800,0.2027300735547985010944379142
fold-7-validation,2024-06-24T00:00:00+00:00,2024-09-21T23:59:59.999000+00:00,2024-06-19T20:00:00+00:00,2024-06-24T00:00:00+00:00,2024-06-24T00:00:00+00:00,2260,2160,100,2160,cf3663600c71f56b32cf9b6d70039ae3ae50837563c078eafe688295da8c47cc,,False,,0,0,0,0
fold-8-validation,2024-09-22T00:00:00+00:00,2024-12-20T23:59:59.999000+00:00,2024-09-17T20:00:00+00:00,2024-09-22T00:00:00+00:00,2024-09-22T00:00:00+00:00,2260,2160,100,2160,4c5ac121ff6fd8052567ee209616ae69a5b33b6fee57f2c1db0e8477696273d2,,False,,2,2,0.10808300146561988645400,0.1779879505487090257842912763
fold-9-validation,2024-12-21T00:00:00+00:00,2025-03-20T23:59:59.999000+00:00,2024-12-16T20:00:00+00:00,2024-12-21T00:00:00+00:00,2024-12-21T00:00:00+00:00,2260,2160,100,2160,3db41bae6a70f83e26b95b7e1ecb73bffcde0366f2a6459f306985bb399dad73,,False,,0,0,0,0
fold-10-validation,2025-03-21T00:00:00+00:00,2025-06-18T23:59:59.999000+00:00,2025-03-16T20:00:00+00:00,2025-03-21T00:00:00+00:00,2025-03-21T00:00:00+00:00,2260,2160,100,2160,c502aa07a9372c8c37829d4f29587ec18fca4ca3f58a3538f4fe34d093eec2f6,,False,,6,6,0.43261991517411779796800,0.3704161128423874833760280126
fold-11-validation,2025-06-19T00:00:00+00:00,2025-09-16T23:59:59.999000+00:00,2025-06-14T20:00:00+00:00,2025-06-19T00:00:00+00:00,2025-06-19T00:00:00+00:00,2260,2160,100,2160,6620ab2bd3ff3cc17c9c6485a746da54847ee455713917f9e0b30addfdbd50c5,,False,,5,5,-0.28105212025725112127400,0.4040567244932339436615661110
fold-12-validation,2025-09-17T00:00:00+00:00,2025-12-15T23:59:59.999000+00:00,2025-09-12T20:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2260,2160,100,2160,4e13742e1f3151545be79156680324982eff67628ac9edb345397d059146d1e0,,False,,0,0,0,0
fold-13-validation,2025-12-16T00:00:00+00:00,2026-03-15T23:59:59.999000+00:00,2025-12-11T20:00:00+00:00,2025-12-16T00:00:00+00:00,2025-12-16T00:00:00+00:00,2260,2160,100,2160,da8615795b63f9bd366e24d8ed61ac65e0114b52800bd908bcda9d1ef702ec6e,,False,,2,2,-0.37149356513926680349200,0.37149356513926680349200
fold-14-validation,2026-03-16T00:00:00+00:00,2026-06-13T23:59:59.999000+00:00,2026-03-11T20:00:00+00:00,2026-03-16T00:00:00+00:00,2026-03-16T00:00:00+00:00,2260,2160,100,2160,b1cd9c12347211f5ecb30f6a8693e8fec5ad79ad0193e963379b4a14ca2c2e7a,,False,,1,1,-0.02350934144181065889600,0.1697624310072754515106163796
