regime,candle_count,entry_count,closed_trade_count,net_return,win_rate,profit_factor,expectancy,maximum_drawdown_percent,exposure_percent,total_costs
RANGING,2127,1,1,-14.3889748077865466194,0,0E+19,-14.3889748077865466194,0.3433671527297743565321349370,0.04048012073110112250295494851,1.9727373837367663194
TRENDING_DOWN,7,0,0,0,,,,0,0,0
TRENDING_UP,25,3,3,-12.8225892396849006894,33.33333333333333333333333333,0.6177805425784578928419790837,-4.2741964132283002298,0.3346687624197465281300,3.235350965850421354297262366,5.9812690742309753894
RANGING,2153,0,0,0,,,,0,0,0
TRENDING_UP,7,0,0,0,,,,0,0,0
RANGING,2155,0,0,0,,,,0,0,0
TRENDING_DOWN,5,0,0,0,,,,0,0,0
RANGING,2146,0,0,0,,,,0,0,0
TRENDING_UP,14,0,0,0,,,,0,0,0
RANGING,2123,0,0,0,,,,0.2442956003932655760284189416,0.07152058614316018907918160947,0
TRENDING_DOWN,26,0,0,0,,,,0,0,0
TRENDING_UP,11,1,1,-2.3509354064216604,0,0E+16,-2.3509354064216604,0.1326236158243188718397979285,5.063900121338649325294073251,2.0006917628918604
RANGING,2107,0,0,0,,,,0.2027300735547985010944379142,0.09849343051069872520809446230,0
TRENDING_DOWN,25,0,0,0,,,,0,0,0
TRENDING_UP,28,1,1,34.8349036726281372628,100,,34.8349036726281372628,0.1128688336230474363197961778,3.681886576720319616767574214,2.0752201464489713372
RANGING,2119,0,0,0,,,,0,0,0
TRENDING_DOWN,41,0,0,0,,,,0,0,0
RANGING,2091,0,0,0,,,,0.1752590755626214298792173609,0.05083454101274460190105479526,0
TRENDING_DOWN,29,0,0,0,,,,0,0,0
TRENDING_UP,40,2,2,10.8083001465619886454,50.0,1.827452698483981144397596769,5.4041500732809943227,0.1230292461569328058768290516,4.456955983879330089657626972,4.0372683801050586546
RANGING,2088,0,0,0,,,,0,0,0
TRENDING_DOWN,67,0,0,0,,,,0,0,0
TRENDING_UP,5,0,0,0,,,,0,0,0
RANGING,2062,0,0,0,,,,0.3136688487085872578489221080,0.1495196156534561832646780786,0
TRENDING_DOWN,30,0,0,0,,,,0,0,0
TRENDING_UP,68,6,6,43.2619915174117797968,50.0,1.751960823016119418323561453,7.210331919568629966133333333,0.2816075314416241566944982912,4.592379033391462866162340934,12.1531502696395818032
RANGING,2060,0,0,0,,,,0.3615255328677361449482481029,0.1530799392434852597095221694,0
TRENDING_DOWN,15,0,0,0,,,,0,0,0
TRENDING_UP,85,5,5,-28.1052120257251121274,20.0,0.4215938675653743579251183361,-5.62104240514502242548,0.4040567244932339436615661110,3.957987437010230475863132532,9.9638001941635058274
RANGING,2104,0,0,0,,,,0,0,0
TRENDING_DOWN,50,0,0,0,,,,0,0,0
TRENDING_UP,6,0,0,0,,,,0,0,0
RANGING,2074,0,0,0,,,,0.37149356513926680349200,0.02415632202754033112154428313,0
TRENDING_DOWN,78,0,0,0,,,,0,0,0
TRENDING_UP,8,2,2,-37.1493565139266803492,0,0E+19,-18.5746782569633401746,0.18700357415965994554800,4.373024453204561226846390192,3.9328853645047549492
RANGING,2115,0,0,0,,,,0.1310588106900898450425018325,0.07442913881545811647903044664,0
TRENDING_DOWN,32,0,0,0,,,,0,0,0
TRENDING_UP,13,1,1,-2.3509341441810658896,0,0E+19,-2.3509341441810658896,0.044341729444598115600,5.096586181273752620592264775,2.0006906875748506896
